"idnum","hs_avg_score"
"0686",3
"0687",3
"0688",3
"0689",4
"0690",3
"0691",2.25
"0692",2.66666666666667
"0693",4
"0694",3
"0695",NA
"0696",3.66666666666667
"0697",3.25
"0698",2.25
"0699",3.75
"0700",1.75
"0701",2.75
"0702",3
"0703",NA
"0704",2.75
"0705",2
"0706",NA
"0707",3
"0708",3
"0709",2.66666666666667
"0710",NA
"0711",2
"0712",3.5
"0713",2.75
"0714",2.75
"0715",2.25
"0716",3.25
"0717",NA
"0718",NA
"0719",NA
"0720",4
"0721",3.25
"0722",2.75
"0723",NA
"0724",NA
"0725",NA
"0726",3.75
"0727",3
"0728",2.75
"0729",NA
"0730",NA
"0731",3.25
"0732",NA
"0733",2.5
"0734",NA
"0735",2.75
"0736",NA
"0737",3
"0738",NA
"0739",2.5
"0740",2.75
"0741",2.25
"0742",3
"0743",NA
"0744",3.5
"0745",NA
"0746",NA
"0747",3.25
"0748",2.5
"0749",4
"0750",NA
"0751",2.25
"0752",3.75
"0753",3.5
"0754",2.5
"0755",4
"0756",4
"0757",3.5
"0758",2.5
"0759",3.25
"0760",1.5
"0761",1.75
"0762",3
"0763",NA
"0764",1.75
"0765",NA
"0766",NA
"0767",2.33333333333333
"0768",3.75
"0769",3.25
"0770",NA
"0771",2.33333333333333
"0772",NA
"0773",3
"0774",2
"0775",1.75
"0776",1
"0777",1.66666666666667
"0778",2.25
"0779",NA
"0780",NA
"0781",2.75
"0782",3.5
"0783",3.25
"0784",2.5
"0785",3.75
"0786",1.75
"0787",NA
"0788",2.75
"0789",3
"0790",3
"0791",2.5
"0792",3.25
"0793",2.75
"0794",3
"0795",1.75
"0796",NA
"0797",NA
"0798",NA
"0799",2.25
"0800",3.5
"0801",3
"0802",3.5
"0803",3.75
"0804",NA
"0805",3.25
"0806",NA
"0807",2.75
"0808",3.5
"0809",1.5
"0810",2.5
"0811",NA
"0812",NA
"0813",2.66666666666667
"0814",2
"0815",NA
"0816",3
"0817",3.25
"0818",3.5
"0819",3.25
"0820",NA
"0821",3.75
"0822",1.75
"0823",2.75
"0824",2
"0825",NA
"0826",2.5
"0827",3
"0828",NA
"0829",3.75
"0830",NA
"0831",2.75
"0832",NA
"0833",3.25
"0834",NA
"0835",2.5
"0836",NA
"0837",NA
"0838",NA
"0839",1.75
"0840",NA
"0841",2.5
"0842",3.5
"0843",NA
"0844",NA
"0845",3.5
"0846",NA
"0847",2.5
"0848",NA
"0849",NA
"0850",2.25
"0851",2.25
"0852",3
"0853",3
"0854",NA
"0855",NA
"0856",3.5
"0857",3.33333333333333
"0858",NA
"0859",NA
"0860",3.25
"0861",3
"0862",NA
"0863",3
"0864",NA
"0865",3
"0866",3.75
"0867",2.5
"0868",2.33333333333333
"0869",NA
"0870",3.75
"0871",2.75
"0872",3.5
"0873",3.5
"0874",3.25
"0875",2
"0876",2.25
"0877",3
"0878",3.25
"0879",2.75
"0880",NA
"0881",3.75
"0882",NA
"0883",NA
"0884",3.33333333333333
"0885",3
"0886",3
"0887",3.25
"0888",NA
"0889",3.66666666666667
"0890",NA
"0891",2.33333333333333
"0892",NA
"0893",NA
"0894",3
"0895",NA
"0896",NA
"0897",NA
"0898",3.75
"0899",NA
"0900",NA
"0901",2.66666666666667
"0902",3.75
"0903",2.5
"0904",1.5
"0905",NA
"0906",NA
"0907",NA
"0908",NA
"0909",2.75
"0910",NA
"0911",NA
"0912",NA
"0913",3
"0914",3.25
"0915",2
"0916",NA
"0917",3.25
"0918",NA
"0919",NA
"0920",3.25
"0921",NA
"0922",NA
"0923",2
"0924",1.5
"0925",2
"0926",4
"0927",3.5
"0928",NA
"0929",2.75
"0930",NA
"0931",3.25
"0932",NA
"0933",NA
"0934",NA
"0935",3
"0936",2.5
"0937",3.5
"0938",NA
"0939",NA
"0940",NA
"0941",NA
"0942",2
"0943",3.25
"0944",2.75
"0945",2
"0946",3
"0947",NA
"0948",2.66666666666667
"0949",NA
"0950",3.5
"0951",2.25
"0952",3.75
"0953",NA
"0954",NA
"0955",1.25
"0956",3
"0957",2.5
"0958",2.75
"0959",3.5
"0960",1.75
"0961",NA
"0962",3.25
"0963",3
"0964",3
"0965",NA
"0966",2.25
"0967",3.75
"0968",3.25
"0969",2.75
"0970",NA
"0971",2.75
"0972",3
"0973",3.25
"0974",3
"0975",3
"0976",NA
"0977",4
"0978",NA
"0979",3
"0980",NA
"0981",NA
"0982",3
"0983",NA
"0984",2.75
"0985",2.75
"0986",NA
"0987",NA
"0988",2.25
"0989",3
"0990",2.33333333333333
"0991",NA
"0992",2.5
"0993",2.5
"0994",4
"0995",2.75
"0996",NA
"0997",3.5
"0998",2.25
"0999",NA
"1000",3.25
"1001",2.75
"1002",4
"1003",NA
"1004",3
"1005",NA
"1006",3.25
"1007",NA
"1008",2.75
"1009",NA
"1010",2.5
"1011",3.25
"1012",3
"1013",NA
"1014",1.25
"1015",NA
"1016",3.75
"1017",2.75
"1018",4
"1019",3.25
"1020",3
"1021",2.5
"1022",NA
"1023",2.75
"1024",3
"1025",NA
"1026",2.75
"1027",3.75
"1028",NA
"1029",NA
"1030",2.25
"1031",2.5
"1032",2.75
"1033",3.5
"1034",3.66666666666667
"1035",NA
"1036",3
"1037",3.75
"1038",3.25
"1039",NA
"1040",NA
"1041",3.25
"1042",2.5
"1043",3.25
"1044",2.25
"1045",3.25
"1046",NA
"1047",3
"1048",2
"1049",NA
"1050",3.5
"1051",NA
"1052",3.25
"1053",NA
"1054",3.5
"1055",3.5
"1056",3
"1057",3.33333333333333
"1058",NA
"1059",NA
"1060",2.5
"1061",NA
"1062",1.75
"1063",NA
"1064",NA
"1065",NA
"1066",NA
"1067",3
"1068",1.5
"1069",3.25
"1070",2.75
"1071",2.75
"1072",2.5
"1073",3.75
"1074",2
"1075",NA
"1076",NA
"1077",3
"1078",2.25
"1079",2
"1080",NA
"1081",NA
"1082",3.25
"1083",2.5
"1084",3.25
"1085",3.5
"1086",2.25
"1087",2.66666666666667
"1088",3
"1089",2
"1090",NA
"1091",2.25
"1092",NA
"1093",1.5
"1094",3.5
"1095",2.25
"1096",2.66666666666667
"1097",2.5
"1098",3.5
"1099",NA
"1100",NA
"1101",NA
"1102",3.25
"1103",NA
"1104",1.25
"1105",NA
"1106",2.5
"1107",4
"1108",3
"1109",2.66666666666667
"1110",3.25
"1111",NA
"1112",3.5
"1113",NA
"1114",4
"1115",1.5
"1116",3.5
"1117",3.75
"1118",3.75
"1119",1.5
"1120",3.75
"1121",2.75
"1122",3.25
"1123",3.75
"1124",3.25
"1125",3
"1126",2.75
"1127",NA
"1128",3.25
"1129",2.5
"1130",3.5
"1131",2
"1132",NA
"1133",3
"1134",4
"1135",2.5
"1136",NA
"1137",NA
"1138",NA
"1139",2.75
"1140",4
"1141",3.75
"1142",NA
"1143",2.5
"1144",NA
"1145",2.66666666666667
"1146",NA
"1147",1.25
"1148",3
"1149",2.5
"1150",2.33333333333333
"1151",2.66666666666667
"1152",1.33333333333333
"1153",NA
"1154",3.5
"1155",3.5
"1156",NA
"1157",3.25
"1158",2.25
"1159",4
"1160",NA
"1161",2.5
"1162",NA
"1163",3.25
"1164",3.25
"1165",NA
"1166",3.25
"1167",NA
"1168",4
"1169",2.5
"1170",NA
"1171",3.5
"1172",3.5
"1173",3
"1174",2.25
"1175",1.5
"1176",2.33333333333333
"1177",NA
"1178",2.33333333333333
"1179",NA
"1180",NA
"1181",3
"1182",2.25
"1183",2.5
"1184",2.75
"1185",NA
"1186",4
"1187",NA
"1188",2.75
"1189",4
"1190",3.25
"1191",2.25
"1192",NA
"1193",2.75
"1194",NA
"1195",1.75
"1196",2.75
"1197",NA
"1198",1
"1199",NA
"1200",NA
"1201",2
"1202",3.33333333333333
"1203",3.25
"1204",3.75
"1205",NA
"1206",NA
"1207",1.75
"1208",3.25
"1209",2.5
"1210",3
"1211",2
"1212",2.5
"1213",3
"1214",2.75
"1215",2.75
"1216",NA
"1217",2.25
"1218",1
"1219",NA
"1220",3
"1221",3.75
"1222",3
"1223",2
"1224",NA
"1225",3.25
"1226",3
"1227",3.5
"1228",2.25
"1229",NA
"1230",2.75
"1231",2
"1232",NA
"1233",1.25
"1234",3.75
"1235",3.5
"1236",3
"1237",NA
"1238",2
"1239",NA
"1240",NA
"1241",3.75
"1242",2.75
"1243",3.75
"1244",NA
"1245",NA
"1246",NA
"1247",NA
"1248",2.5
"1249",NA
"1250",3.25
"1251",NA
"1252",3.25
"1253",NA
"1254",2.75
"1255",2
"1256",3.75
"1257",2.5
"1258",NA
"1259",3
"1260",3.25
"1261",3.75
"1262",2.66666666666667
"1263",2.75
"1264",3.66666666666667
"1265",2.25
"1266",2.5
"1267",2.25
"1268",2
"1269",2.5
"1270",NA
"1271",NA
"1272",NA
"1273",NA
"1274",2.75
"1275",NA
"1276",NA
"1277",2.75
"1278",2.75
"1279",NA
"1280",3.5
"1281",3.5
"1282",2.75
"1283",NA
"1284",NA
"1285",4
"1286",3.5
"1287",NA
"1288",NA
"1289",1
"1290",1.5
"1291",3
"1292",2.5
"1293",NA
"1294",NA
"1295",NA
"1296",NA
"1297",3.25
"1298",2.25
"1299",3
"1300",NA
"1301",NA
"1302",NA
"1303",NA
"1304",3.75
"1305",3.75
"1306",NA
"1307",3.25
"1308",2.75
"1309",NA
"1310",NA
"1311",2.75
"1312",NA
"1313",3.25
"1314",3.25
"1315",NA
"1316",2.75
"1317",3
"1318",2.75
"1319",3.66666666666667
"1320",2.75
"1321",2.75
"1322",2.5
"1323",NA
"1324",2.5
"1325",NA
"1326",3.25
"1327",NA
"1328",NA
"1329",2.75
"1330",3.75
"1331",NA
"1332",3.5
"1333",3.5
"1334",NA
"1335",NA
"1336",2.5
"1337",2
"1338",3.75
"1339",3.25
"1340",3
"1341",3.75
"1342",4
"1343",2
"1344",2.75
"1345",2.25
"1346",3
"1347",3
"1348",NA
"1349",3.75
"1350",2.75
"1351",3.25
"1352",2.25
"1353",3.25
"1354",NA
"1355",NA
"1356",3.5
"1357",2.75
"1358",3.5
"1359",2.25
"1360",3
"1361",2.25
"1362",2.75
"1363",2.5
"1364",2.75
"1365",3.5
"1366",1.75
"1367",2.75
"1368",3
"1369",2
"1370",3
"1371",3.75
"1372",NA
"1373",NA
"1374",3.25
"1375",2.75
"1376",NA
"1377",NA
"1378",NA
"1379",3.25
"1380",1.5
"1381",2.75
"1382",NA
"1383",1.5
"1384",NA
"1385",3.25
"1386",NA
"1387",3
"1388",3.25
"1389",1.5
"1390",3
"1391",NA
"1392",NA
"1393",3.75
"1394",2.5
"1395",NA
"1396",NA
"1397",2.66666666666667
"1398",NA
"1399",3.33333333333333
"1400",NA
"1401",2.5
"1402",NA
"1403",4
"1404",2
"1405",2.75
"1406",2
"1407",3.66666666666667
"1408",2.5
"1409",2.75
"1410",NA
"1411",NA
"1412",2.5
"1413",3.25
"1414",3.25
"1415",3.5
"1416",3
"1417",2.75
"1418",NA
"1419",NA
"1420",2.5
"1421",NA
"1422",3.25
"1423",2.75
"1424",4
"1425",NA
"1426",NA
"1427",3.5
"1428",NA
"1429",NA
"1430",NA
"1431",NA
"1432",2.25
"1433",1.75
"1434",2.25
"1435",2.75
"1436",3.25
"1437",2.5
"1438",3.33333333333333
"1439",3.25
"1440",NA
"1441",NA
"1442",NA
"1443",NA
"1444",NA
"1445",3
"1446",2.5
"1447",2.75
"1448",2.75
"1449",3.25
"1450",2.5
"1451",4
"1452",NA
"1453",3.75
"1454",2.5
"1455",NA
"1456",4
"1457",2.5
"1458",NA
"1459",NA
"1460",3
"1461",2.75
"1462",NA
"1463",NA
"1464",NA
"1465",NA
"1466",NA
"1467",3
"1468",NA
"1469",3.25
"1470",NA
"1471",4
"1472",NA
"1473",2.75
"1474",3
"1475",3.5
"1476",3.5
"1477",NA
"1478",NA
"1479",2.75
"1480",2
"1481",NA
"1482",2.25
"1483",2.5
"1484",2.75
"1485",NA
"1486",3.75
"1487",2.5
"1488",2.75
"1489",NA
"1490",3.5
"1491",NA
"1492",NA
"1493",NA
"1494",2.5
"1495",1
"1496",2.5
"1497",4
"1498",3.25
"1499",2.75
"1500",2
"1501",3
"1502",NA
"1503",3.5
"1504",NA
"1505",2.75
"1506",3.25
"1507",2.75
"1508",2
"1509",NA
"1510",2.33333333333333
"1511",NA
"1512",3
"1513",NA
"1514",3.75
"1515",NA
"1516",3.25
"1517",4
"1518",2.5
"1519",NA
"1520",NA
"1521",3.33333333333333
"1522",1.5
"1523",NA
"1524",2.5
"1525",3.75
"1526",1.66666666666667
"1527",3.25
"1528",3.33333333333333
"1529",2.75
"1530",4
"1531",NA
"1532",3.25
"1533",NA
"1534",NA
"1535",3
"1536",2.5
"1537",3.66666666666667
"1538",3
"1539",NA
"1540",2.75
"1541",3.5
"1542",3.25
"1543",3.75
"1544",2.5
"1545",2.66666666666667
"1546",1.66666666666667
"1547",NA
"1548",NA
"1549",NA
"1550",NA
"1551",2
"1552",2.5
"1553",1.5
"1554",2
"1555",3.75
"1556",NA
"1557",3.5
"1558",2.66666666666667
"1559",2.25
"1560",NA
"1561",2.25
"1562",3.25
"1563",NA
"1564",NA
"1565",4
"1566",3.5
"1567",2
"1568",NA
"1569",3
"1570",1.75
"1571",2.5
"1572",NA
"1573",3.75
"1574",NA
"1575",2.5
"1576",1.5
"1577",NA
"1578",2.5
"1579",NA
"1580",4
"1581",1.33333333333333
"1582",NA
"1583",3
"1584",3.75
"1585",NA
"1586",2
"1587",3.25
"1588",NA
"1589",2.33333333333333
"1590",2.75
"1591",2.66666666666667
"1592",NA
"1593",1.66666666666667
"1594",4
"1595",3.25
"1596",NA
"1597",NA
"1598",4
"1599",NA
"1600",3
"1601",3.75
"1602",NA
"1603",2.75
"1604",NA
"1605",3.75
"1606",2.75
"1607",NA
"1608",2.75
"1609",2.25
"1610",3
"1611",2
"1612",NA
"1613",2.33333333333333
"1614",3.25
"1615",2.75
"1616",2
"1617",NA
"1618",NA
"1619",3.25
"1620",2.75
"1621",3.25
"1622",NA
"1623",2.25
"1624",NA
"1625",3
"1626",NA
"1627",NA
"1628",3
"1629",NA
"1630",3.25
"1631",3.66666666666667
"1632",2.75
"1633",2.75
"1634",2.25
"1635",1.75
"1636",2.33333333333333
"1637",2.5
"1638",1.75
"1639",3
"1640",4
"1641",NA
"1642",1.66666666666667
"1643",2.33333333333333
"1644",NA
"1645",NA
"1646",2.25
"1647",2.75
"1648",NA
"1649",3.75
"1650",2.25
"1651",3
"1652",3.25
"1653",NA
"1654",3.25
"1655",2.75
"1656",3.25
"1657",2.75
"1658",2.25
"1659",NA
"1660",NA
"1661",NA
"1662",2
"1663",2
"1664",3.5
"1665",1.25
"1666",3
"1667",2.75
"1668",3.25
"1669",NA
"1670",3.5
"1671",3.25
"1672",2.5
"1673",NA
"1674",2.25
"1675",2.5
"1676",NA
"1677",1.5
"1678",3.25
"1679",4
"1680",NA
"1681",2
"1682",2
"1683",3.5
"1684",1.33333333333333
"1685",NA
"1686",3.25
"1687",3
"1688",2.75
"1689",2.66666666666667
"1690",NA
"1691",NA
"1692",3.5
"1693",3
"1694",3
"1695",3.5
"1696",2.25
"1697",NA
"1698",NA
"1699",NA
"1700",NA
"1701",3.5
"1702",NA
"1703",3.25
"1704",2.25
"1705",2.75
"1706",3
"1707",3
"1708",2.25
"1709",3
"1710",4
"1711",3
"1712",NA
"1713",1.66666666666667
"1714",NA
"1715",3
"1716",NA
"1717",NA
"1718",3.75
"1719",2.66666666666667
