"idnum","father_fin_security_w234","mother_fin_security_w2345"
"0418","Yes","Yes"
"0419",NA,"Yes"
"0420","Yes","No"
"0421","Yes","Yes"
"0422","Yes","Yes"
"0423","Yes","Yes"
"0424","Yes","Yes"
"0425","No","Yes"
"0426","No","Yes"
"0427",NA,"No"
"0428",NA,"No"
"0429","Yes","No"
"0430","No","No"
"0431","Yes","No"
"0432","Yes","Yes"
"0433","No","Yes"
"0434",NA,"Yes"
"0435","No","No"
"0436","No","Yes"
"0437","Yes","Yes"
"0438","Yes","Yes"
"0439","No","Yes"
"0440","Yes","No"
"0441","No","Yes"
"0442",NA,"Yes"
"0443","Yes","Yes"
"0444","Yes","Yes"
"0445","Yes","No"
"0446","Yes","Yes"
"0447",NA,"Yes"
"0448","No","Yes"
"0449",NA,"Yes"
"0450","Yes","No"
"0451","Yes","No"
"0452","Yes","Yes"
"0453","Yes","Yes"
"0454","No","No"
"0455","Yes","Yes"
"0456","Yes","No"
"0457",NA,"No"
"0458","No","No"
"0459","Yes","Yes"
"0460","Yes","Yes"
"0461",NA,NA
"0462",NA,NA
"0463",NA,"Yes"
"0464","Yes","No"
"0465","No","Yes"
"0466","Yes","Yes"
"0467",NA,"Yes"
"0468","Yes","Yes"
"0469",NA,"No"
"0470",NA,"Yes"
"0471","No","Yes"
"0472","Yes","Yes"
"0473","No","No"
"0474","Yes","Yes"
"0475",NA,"Yes"
"0476","No","Yes"
"0477","Yes","No"
"0478","Yes","Yes"
"0479","No","No"
"0480","No","No"
"0481","Yes","Yes"
"0482","Yes","Yes"
"0483",NA,"No"
"0484",NA,"Yes"
"0485",NA,NA
"0486","Yes","Yes"
"0487","Yes","Yes"
"0488",NA,"Yes"
"0489","Yes","Yes"
"0490","Yes","Yes"
"0491",NA,"Yes"
"0492","No","Yes"
"0493","Yes","Yes"
"0494","No","No"
"0495","No","Yes"
"0496","No","Yes"
"0497","Yes","Yes"
"0498","No","Yes"
"0499",NA,"Yes"
"0500","Yes","Yes"
"0501",NA,"Yes"
"0502","Yes","Yes"
"0503","No","No"
"0504","Yes","Yes"
"0505",NA,NA
"0506","Yes","No"
"0507","No","Yes"
"0508",NA,"No"
"0509","Yes","Yes"
"0510","Yes","Yes"
"0511","No","Yes"
"0512","No","No"
"0513",NA,"No"
"0514","Yes","Yes"
"0515","No","Yes"
"0516","Yes","No"
"0517","Yes","No"
"0518","No",NA
"0519","No","No"
"0520","No","Yes"
"0521","Yes","Yes"
"0522","No","Yes"
"0523","Yes","No"
"0524","Yes","Yes"
"0525",NA,"Yes"
"0526",NA,"Yes"
"0527","Yes","Yes"
