"idnum","child_edu_level"
"0458",NA
"0459","Completed college/grad"
"0460","Less than high school"
"0461",NA
"0462","Completed high school"
"0463","Completed high school"
"0464",NA
"0465","Completed high school"
"0466","Completed high school"
"0467",NA
"0468","Completed high school"
"0469","Completed high school"
"0470",NA
"0471","Completed high school"
"0472",NA
"0473",NA
"0474","Some college, tech"
"0475","Less than high school"
"0476","Completed high school"
"0477","Completed high school"
"0478","Completed high school"
"0479",NA
"0480","Completed high school"
"0481","Completed college/grad"
"0482","Some college, tech"
"0483",NA
"0484","Completed high school"
"0485",NA
"0486","Some college, tech"
"0487","Some college, tech"
"0488",NA
"0489",NA
"0490","Completed high school"
"0491","Completed high school"
"0492","Completed high school"
"0493","Completed college/grad"
"0494",NA
"0495","Some college, tech"
"0496","Some college, tech"
"0497","Some college, tech"
"0498","Completed high school"
"0499",NA
"0500","Completed high school"
"0501","Completed college/grad"
"0502","Some college, tech"
"0503",NA
"0504","Completed high school"
"0505",NA
"0506","Completed high school"
"0507",NA
"0508",NA
"0509","Some college, tech"
"0510","Completed high school"
"0511",NA
"0512","Completed high school"
"0513",NA
"0514",NA
"0515",NA
"0516",NA
"0517",NA
"0518",NA
"0519","Completed high school"
"0520","Less than high school"
"0521",NA
"0522","Some college, tech"
"0523",NA
"0524","Some college, tech"
"0525","Less than high school"
"0526",NA
"0527",NA
"0528",NA
"0529",NA
"0530","Some college, tech"
"0531","Some college, tech"
"0532","Some college, tech"
"0533","Less than high school"
"0534",NA
"0535","Some college, tech"
"0536",NA
"0537",NA
"0538","Some college, tech"
"0539","Completed high school"
"0540","Less than high school"
"0541","Completed college/grad"
"0542",NA
"0543",NA
"0544","Some college, tech"
"0545",NA
"0546","Completed high school"
"0547","Some college, tech"
"0548",NA
"0549",NA
"0550",NA
"0551",NA
"0552","Less than high school"
"0553",NA
"0554","Completed college/grad"
"0555","Some college, tech"
"0556","Some college, tech"
"0557","Completed high school"
"0558","Some college, tech"
"0559",NA
"0560","Some college, tech"
"0561",NA
"0562","Less than high school"
"0563","Completed high school"
"0564",NA
"0565",NA
"0566",NA
"0567","Completed high school"
"0568","Some college, tech"
"0569",NA
"0570","Completed high school"
"0571",NA
"0572","Some college, tech"
"0573",NA
"0574",NA
"0575",NA
"0576","Some college, tech"
"0577","Completed high school"
"0578",NA
"0579","Completed high school"
"0580",NA
"0581","Completed college/grad"
"0582",NA
"0583",NA
"0584",NA
"0585",NA
"0586","Completed high school"
"0587","Less than high school"
"0588",NA
"0589","Completed college/grad"
"0590","Some college, tech"
"0591","Some college, tech"
"0592",NA
"0593",NA
"0594","Completed high school"
"0595",NA
"0596","Completed college/grad"
"0597",NA
"0598","Completed high school"
"0599","Some college, tech"
"0600","Completed high school"
"0601",NA
"0602","Completed high school"
"0603","Completed high school"
"0604","Completed high school"
"0605",NA
"0606","Completed high school"
"0607","Some college, tech"
"0608",NA
"0609",NA
"0610",NA
"0611","Some college, tech"
"0612","Completed high school"
"0613",NA
"0614","Some college, tech"
"0615","Some college, tech"
"0616",NA
"0617","Some college, tech"
"0618","Completed high school"
"0619","Some college, tech"
"0620",NA
"0621",NA
"0622",NA
"0623",NA
"0624","Completed high school"
"0625","Completed high school"
"0626","Completed high school"
"0627","Completed high school"
"0628","Some college, tech"
"0629","Completed high school"
"0630",NA
"0631","Less than high school"
"0632",NA
"0633",NA
"0634","Some college, tech"
"0635",NA
"0636","Some college, tech"
"0637",NA
"0638","Some college, tech"
"0639","Completed high school"
"0640","Completed high school"
"0641","Some college, tech"
"0642",NA
"0643","Some college, tech"
"0644",NA
"0645",NA
"0646","Some college, tech"
"0647",NA
"0648","Some college, tech"
"0649","Completed high school"
"0650","Completed college/grad"
"0651",NA
"0652","Some college, tech"
"0653","Completed high school"
"0654","Completed high school"
"0655",NA
"0656","Completed college/grad"
"0657","Some college, tech"
"0658",NA
"0659","Completed college/grad"
"0660",NA
"0661",NA
"0662","Completed high school"
"0663","Completed high school"
"0664",NA
"0665","Completed college/grad"
"0666","Some college, tech"
"0667","Completed high school"
"0668","Completed high school"
"0669","Some college, tech"
"0670",NA
"0671","Less than high school"
"0672","Completed high school"
"0673","Completed high school"
"0674","Some college, tech"
"0675","Some college, tech"
"0676","Some college, tech"
"0677",NA
"0678",NA
"0679","Completed high school"
"0680",NA
"0681",NA
"0682",NA
"0683","Completed high school"
"0684","Completed high school"
"0685","Completed high school"
"0686","Completed high school"
"0687","Completed college/grad"
"0688",NA
"0689","Some college, tech"
"0690","Some college, tech"
"0691","Completed high school"
"0692",NA
"0693","Completed high school"
"0694","Completed high school"
"0695",NA
"0696","Completed college/grad"
"0697","Some college, tech"
"0698",NA
"0699","Completed high school"
"0700","Completed high school"
"0701","Completed high school"
"0702","Completed high school"
"0703",NA
"0704","Some college, tech"
"0705","Completed high school"
"0706","Completed high school"
"0707","Less than high school"
"0708","Some college, tech"
"0709","Some college, tech"
"0710",NA
"0711","Some college, tech"
"0712",NA
"0713","Less than high school"
"0714",NA
"0715","Some college, tech"
"0716","Completed college/grad"
"0717",NA
"0718",NA
"0719",NA
"0720","Completed college/grad"
"0721","Some college, tech"
"0722","Completed high school"
"0723",NA
"0724",NA
"0725",NA
"0726","Some college, tech"
"0727",NA
"0728","Completed high school"
"0729",NA
"0730",NA
"0731","Completed high school"
"0732",NA
"0733","Less than high school"
"0734",NA
"0735",NA
"0736",NA
"0737","Completed college/grad"
"0738",NA
"0739","Less than high school"
"0740","Some college, tech"
"0741",NA
"0742","Some college, tech"
"0743",NA
"0744","Some college, tech"
"0745",NA
"0746",NA
"0747","Completed high school"
"0748","Completed high school"
"0749","Completed college/grad"
"0750",NA
"0751","Completed high school"
"0752","Some college, tech"
"0753","Completed high school"
"0754","Some college, tech"
"0755","Completed college/grad"
"0756","Completed college/grad"
"0757",NA
"0758","Some college, tech"
"0759",NA
"0760",NA
"0761",NA
"0762","Completed high school"
"0763",NA
"0764","Some college, tech"
"0765",NA
"0766",NA
"0767",NA
"0768","Some college, tech"
"0769","Some college, tech"
"0770",NA
"0771","Completed high school"
"0772",NA
"0773","Some college, tech"
"0774","Completed high school"
"0775","Completed high school"
"0776","Less than high school"
"0777","Less than high school"
"0778","Some college, tech"
"0779",NA
"0780",NA
"0781",NA
"0782","Completed high school"
"0783","Completed high school"
"0784","Less than high school"
"0785","Some college, tech"
"0786","Less than high school"
"0787",NA
"0788","Some college, tech"
"0789","Completed high school"
"0790","Some college, tech"
"0791","Completed high school"
"0792","Some college, tech"
"0793","Completed college/grad"
"0794","Some college, tech"
"0795","Less than high school"
"0796","Less than high school"
"0797",NA
"0798",NA
"0799","Less than high school"
"0800","Some college, tech"
"0801","Completed college/grad"
"0802","Some college, tech"
"0803","Completed high school"
"0804",NA
"0805","Some college, tech"
"0806",NA
"0807",NA
"0808","Some college, tech"
"0809",NA
"0810","Some college, tech"
"0811",NA
"0812",NA
"0813","Some college, tech"
"0814","Completed high school"
"0815",NA
"0816","Completed high school"
"0817","Less than high school"
"0818","Some college, tech"
"0819","Some college, tech"
"0820","Less than high school"
"0821","Completed college/grad"
"0822","Completed high school"
"0823","Some college, tech"
"0824","Some college, tech"
"0825",NA
"0826","Some college, tech"
"0827","Less than high school"
"0828",NA
"0829","Some college, tech"
"0830",NA
"0831","Completed high school"
"0832","Completed high school"
"0833","Completed high school"
"0834","Completed college/grad"
"0835","Completed high school"
"0836","Completed high school"
"0837",NA
"0838",NA
"0839","Some college, tech"
"0840",NA
"0841",NA
"0842","Some college, tech"
"0843",NA
"0844","Some college, tech"
"0845","Some college, tech"
"0846",NA
"0847","Some college, tech"
"0848",NA
"0849",NA
"0850","Less than high school"
"0851","Some college, tech"
"0852",NA
"0853","Completed high school"
"0854","Less than high school"
"0855",NA
"0856","Completed college/grad"
"0857","Completed college/grad"
"0858","Completed high school"
"0859",NA
"0860","Some college, tech"
"0861","Some college, tech"
"0862",NA
"0863","Completed high school"
"0864",NA
"0865",NA
"0866","Some college, tech"
"0867",NA
"0868","Less than high school"
"0869",NA
"0870","Completed high school"
"0871","Some college, tech"
"0872",NA
"0873","Completed high school"
"0874","Some college, tech"
"0875","Completed high school"
"0876",NA
"0877",NA
"0878","Less than high school"
"0879","Some college, tech"
"0880",NA
"0881",NA
"0882",NA
"0883",NA
"0884","Completed college/grad"
"0885","Completed high school"
"0886","Some college, tech"
"0887",NA
"0888",NA
"0889","Some college, tech"
"0890",NA
"0891","Completed high school"
"0892","Completed college/grad"
"0893","Completed college/grad"
"0894","Less than high school"
"0895",NA
"0896","Completed high school"
"0897",NA
"0898","Completed college/grad"
"0899",NA
"0900",NA
"0901","Some college, tech"
"0902","Some college, tech"
"0903",NA
"0904",NA
"0905",NA
"0906",NA
"0907",NA
"0908",NA
"0909",NA
"0910","Completed high school"
"0911","Completed high school"
"0912",NA
"0913","Some college, tech"
"0914","Some college, tech"
"0915","Some college, tech"
"0916",NA
"0917","Some college, tech"
