"idnum","fparents_edustatus_w2345","mparents_edustatus_w2345"
"2095",NA,"At least one parent attended college"
"2096","Neither parent attended college","At least one parent attended college"
"2097","At least one parent attended college","Neither parent attended college"
"2098","At least one parent attended college","Neither parent attended college"
"2099","At least one parent attended college","Neither parent attended college"
"2100","At least one parent attended college","Neither parent attended college"
"2101","Neither parent attended college","Neither parent attended college"
"2102","Neither parent attended college","At least one parent attended college"
"2103","Neither parent attended college","Neither parent attended college"
"2104","Neither parent attended college","At least one parent attended college"
"2105","At least one parent attended college","At least one parent attended college"
"2106","Neither parent attended college","Neither parent attended college"
"2107",NA,"At least one parent attended college"
"2108","At least one parent attended college","Neither parent attended college"
"2109","Neither parent attended college","Neither parent attended college"
"2110","Neither parent attended college","At least one parent attended college"
"2111","At least one parent attended college","At least one parent attended college"
"2112","Neither parent attended college","At least one parent attended college"
"2113","At least one parent attended college","Neither parent attended college"
"2114","At least one parent attended college","Neither parent attended college"
"2115","Neither parent attended college","Neither parent attended college"
"2116","Neither parent attended college","Neither parent attended college"
"2117","Neither parent attended college","Neither parent attended college"
"2118","Neither parent attended college","Neither parent attended college"
"2119","At least one parent attended college","At least one parent attended college"
"2120","Neither parent attended college","At least one parent attended college"
"2121","Neither parent attended college","At least one parent attended college"
"2122","Neither parent attended college","Neither parent attended college"
"2123","At least one parent attended college","Neither parent attended college"
"2124","Neither parent attended college","Neither parent attended college"
"2125",NA,"Neither parent attended college"
"2126","Neither parent attended college","At least one parent attended college"
"2127","At least one parent attended college","At least one parent attended college"
"2128","At least one parent attended college","At least one parent attended college"
"2129","At least one parent attended college","Neither parent attended college"
"2130","At least one parent attended college","Neither parent attended college"
"2131","Neither parent attended college",NA
"2132","Neither parent attended college","At least one parent attended college"
"2133","Neither parent attended college","At least one parent attended college"
"2134","Neither parent attended college","Neither parent attended college"
"2135",NA,NA
"2136",NA,"Neither parent attended college"
"2137","Neither parent attended college","At least one parent attended college"
"2138",NA,"At least one parent attended college"
"2139","Neither parent attended college","At least one parent attended college"
"2140","Neither parent attended college","At least one parent attended college"
"2141","Neither parent attended college","Neither parent attended college"
"2142","Neither parent attended college","Neither parent attended college"
"2143","Neither parent attended college","Neither parent attended college"
"2144","Neither parent attended college","At least one parent attended college"
"2145","At least one parent attended college","At least one parent attended college"
"2146","Neither parent attended college","Neither parent attended college"
"2147",NA,"Neither parent attended college"
"2148","Neither parent attended college","Neither parent attended college"
"2149","Neither parent attended college","At least one parent attended college"
"2150","Neither parent attended college","At least one parent attended college"
"2151","At least one parent attended college","Neither parent attended college"
"2152","Neither parent attended college","Neither parent attended college"
"2153","Neither parent attended college","Neither parent attended college"
"2154","Neither parent attended college","Neither parent attended college"
"2155","Neither parent attended college","Neither parent attended college"
"2156",NA,"Neither parent attended college"
"2157",NA,"Neither parent attended college"
"2158",NA,"Neither parent attended college"
"2159","At least one parent attended college","At least one parent attended college"
"2160","Neither parent attended college","Neither parent attended college"
"2161",NA,"Neither parent attended college"
"2162","At least one parent attended college","Neither parent attended college"
"2163","At least one parent attended college","At least one parent attended college"
"2164","Neither parent attended college",NA
"2165",NA,"Neither parent attended college"
"2166","Neither parent attended college","At least one parent attended college"
"2167","Neither parent attended college","Neither parent attended college"
"2168",NA,NA
"2169","Neither parent attended college","At least one parent attended college"
"2170","At least one parent attended college",NA
"2171","Neither parent attended college","Neither parent attended college"
"2172","Neither parent attended college",NA
"2173",NA,"Neither parent attended college"
"2174",NA,NA
"2175","Neither parent attended college","Neither parent attended college"
"2176",NA,NA
"2177","Neither parent attended college","At least one parent attended college"
"2178",NA,"At least one parent attended college"
"2179","Neither parent attended college","At least one parent attended college"
"2180","Neither parent attended college","Neither parent attended college"
"2181","Neither parent attended college","Neither parent attended college"
"2182","Neither parent attended college","Neither parent attended college"
"2183",NA,"Neither parent attended college"
"2184","At least one parent attended college","Neither parent attended college"
"2185","Neither parent attended college",NA
"2186",NA,"At least one parent attended college"
"2187","At least one parent attended college","At least one parent attended college"
"2188",NA,NA
"2189","At least one parent attended college","At least one parent attended college"
"2190",NA,NA
"2191","At least one parent attended college","Neither parent attended college"
"2192","At least one parent attended college","At least one parent attended college"
"2193",NA,NA
"2194","At least one parent attended college","Neither parent attended college"
"2195","At least one parent attended college","Neither parent attended college"
"2196","Neither parent attended college","At least one parent attended college"
"2197","Neither parent attended college","Neither parent attended college"
"2198","Neither parent attended college","At least one parent attended college"
"2199","Neither parent attended college","Neither parent attended college"
"2200","Neither parent attended college",NA
"2201","At least one parent attended college","Neither parent attended college"
"2202","Neither parent attended college","Neither parent attended college"
"2203","Neither parent attended college","At least one parent attended college"
"2204","Neither parent attended college","Neither parent attended college"
"2205","Neither parent attended college","Neither parent attended college"
"2206","Neither parent attended college","Neither parent attended college"
"2207","Neither parent attended college","Neither parent attended college"
"2208","Neither parent attended college","Neither parent attended college"
"2209","Neither parent attended college","Neither parent attended college"
"2210",NA,"At least one parent attended college"
"2211","Neither parent attended college","At least one parent attended college"
"2212",NA,"Neither parent attended college"
"2213","Neither parent attended college","At least one parent attended college"
"2214","At least one parent attended college","Neither parent attended college"
"2215","Neither parent attended college","At least one parent attended college"
"2216","Neither parent attended college","Neither parent attended college"
"2217","Neither parent attended college","Neither parent attended college"
"2218","Neither parent attended college","At least one parent attended college"
"2219","Neither parent attended college","Neither parent attended college"
"2220",NA,"At least one parent attended college"
"2221",NA,NA
"2222","Neither parent attended college","At least one parent attended college"
"2223",NA,"At least one parent attended college"
"2224","Neither parent attended college","Neither parent attended college"
"2225","Neither parent attended college","Neither parent attended college"
"2226","Neither parent attended college","At least one parent attended college"
"2227",NA,"Neither parent attended college"
"2228",NA,NA
"2229","Neither parent attended college","Neither parent attended college"
"2230",NA,"At least one parent attended college"
"2231",NA,"Neither parent attended college"
"2232","At least one parent attended college","At least one parent attended college"
"2233","At least one parent attended college","Neither parent attended college"
"2234",NA,NA
"2235",NA,"At least one parent attended college"
"2236","Neither parent attended college","At least one parent attended college"
"2237",NA,"Neither parent attended college"
"2238","At least one parent attended college","At least one parent attended college"
"2239",NA,NA
"2240","At least one parent attended college","At least one parent attended college"
"2241","At least one parent attended college","Neither parent attended college"
"2242","Neither parent attended college",NA
"2243","At least one parent attended college","Neither parent attended college"
"2244","Neither parent attended college","Neither parent attended college"
"2245","Neither parent attended college","Neither parent attended college"
"2246","Neither parent attended college","At least one parent attended college"
"2247",NA,NA
"2248","Neither parent attended college","Neither parent attended college"
"2249",NA,"Neither parent attended college"
"2250","At least one parent attended college",NA
"2251",NA,"Neither parent attended college"
"2252","At least one parent attended college","Neither parent attended college"
"2253","Neither parent attended college","Neither parent attended college"
"2254","Neither parent attended college","Neither parent attended college"
"2255",NA,NA
"2256",NA,"Neither parent attended college"
"2257","At least one parent attended college","Neither parent attended college"
"2258",NA,"Neither parent attended college"
"2259","At least one parent attended college","Neither parent attended college"
"2260","Neither parent attended college","At least one parent attended college"
"2261","Neither parent attended college","At least one parent attended college"
"2262","Neither parent attended college","Neither parent attended college"
"2263",NA,"At least one parent attended college"
"2264","At least one parent attended college","At least one parent attended college"
"2265",NA,"At least one parent attended college"
"2266","Neither parent attended college","Neither parent attended college"
"2267","Neither parent attended college","At least one parent attended college"
"2268","Neither parent attended college","Neither parent attended college"
"2269",NA,"Neither parent attended college"
"2270","Neither parent attended college",NA
"2271","Neither parent attended college","Neither parent attended college"
"2272","Neither parent attended college","Neither parent attended college"
"2273","Neither parent attended college","Neither parent attended college"
"2274",NA,"Neither parent attended college"
"2275","Neither parent attended college","At least one parent attended college"
"2276","Neither parent attended college","At least one parent attended college"
"2277","Neither parent attended college","Neither parent attended college"
"2278","Neither parent attended college","At least one parent attended college"
"2279","Neither parent attended college","Neither parent attended college"
"2280",NA,"Neither parent attended college"
"2281","At least one parent attended college","At least one parent attended college"
"2282","At least one parent attended college","At least one parent attended college"
"2283","Neither parent attended college","At least one parent attended college"
"2284","Neither parent attended college","Neither parent attended college"
"2285",NA,"Neither parent attended college"
"2286","Neither parent attended college",NA
"2287","Neither parent attended college","Neither parent attended college"
"2288","Neither parent attended college","Neither parent attended college"
"2289","Neither parent attended college","Neither parent attended college"
"2290","At least one parent attended college","At least one parent attended college"
"2291",NA,"Neither parent attended college"
"2292","Neither parent attended college","Neither parent attended college"
"2293",NA,NA
"2294","Neither parent attended college","Neither parent attended college"
"2295","At least one parent attended college","Neither parent attended college"
"2296","Neither parent attended college","At least one parent attended college"
"2297","At least one parent attended college",NA
"2298","Neither parent attended college","At least one parent attended college"
"2299",NA,NA
"2300","At least one parent attended college","Neither parent attended college"
"2301","Neither parent attended college","At least one parent attended college"
"2302","Neither parent attended college","Neither parent attended college"
"2303","Neither parent attended college","Neither parent attended college"
"2304","At least one parent attended college","At least one parent attended college"
"2305","Neither parent attended college","Neither parent attended college"
"2306","Neither parent attended college","Neither parent attended college"
"2307","At least one parent attended college","At least one parent attended college"
"2308",NA,"Neither parent attended college"
"2309","Neither parent attended college","Neither parent attended college"
"2310","At least one parent attended college","At least one parent attended college"
"2311","Neither parent attended college","Neither parent attended college"
"2312","At least one parent attended college","Neither parent attended college"
"2313",NA,"Neither parent attended college"
"2314","At least one parent attended college","Neither parent attended college"
"2315","At least one parent attended college","Neither parent attended college"
"2316","Neither parent attended college","Neither parent attended college"
"2317","Neither parent attended college","Neither parent attended college"
"2318","At least one parent attended college","Neither parent attended college"
"2319","At least one parent attended college","At least one parent attended college"
"2320","Neither parent attended college","Neither parent attended college"
"2321","At least one parent attended college","At least one parent attended college"
"2322","Neither parent attended college","Neither parent attended college"
"2323","At least one parent attended college","Neither parent attended college"
"2324","Neither parent attended college","At least one parent attended college"
"2325","At least one parent attended college","At least one parent attended college"
"2326","Neither parent attended college","Neither parent attended college"
"2327","Neither parent attended college","At least one parent attended college"
"2328",NA,"At least one parent attended college"
"2329","Neither parent attended college","Neither parent attended college"
"2330","At least one parent attended college","At least one parent attended college"
"2331","Neither parent attended college","At least one parent attended college"
"2332",NA,NA
"2333","At least one parent attended college","Neither parent attended college"
"2334","Neither parent attended college","Neither parent attended college"
"2335","Neither parent attended college",NA
"2336","At least one parent attended college","Neither parent attended college"
"2337",NA,"Neither parent attended college"
"2338","Neither parent attended college","Neither parent attended college"
"2339","Neither parent attended college","Neither parent attended college"
"2340","Neither parent attended college","Neither parent attended college"
"2341","Neither parent attended college","Neither parent attended college"
"2342",NA,"At least one parent attended college"
"2343","At least one parent attended college","At least one parent attended college"
"2344","At least one parent attended college","At least one parent attended college"
"2345","Neither parent attended college","Neither parent attended college"
"2346","At least one parent attended college","At least one parent attended college"
"2347","At least one parent attended college","Neither parent attended college"
"2348","At least one parent attended college","At least one parent attended college"
"2349","At least one parent attended college","Neither parent attended college"
"2350","At least one parent attended college","Neither parent attended college"
"2351",NA,NA
"2352","Neither parent attended college","Neither parent attended college"
"2353","Neither parent attended college","Neither parent attended college"
"2354","At least one parent attended college","At least one parent attended college"
"2355","Neither parent attended college","At least one parent attended college"
"2356","Neither parent attended college",NA
"2357","At least one parent attended college","At least one parent attended college"
"2358","Neither parent attended college","At least one parent attended college"
"2359","Neither parent attended college","At least one parent attended college"
"2360","At least one parent attended college",NA
"2361","Neither parent attended college","At least one parent attended college"
"2362","Neither parent attended college","Neither parent attended college"
"2363","Neither parent attended college","Neither parent attended college"
"2364","Neither parent attended college","Neither parent attended college"
"2365","At least one parent attended college","Neither parent attended college"
"2366",NA,"Neither parent attended college"
"2367",NA,"At least one parent attended college"
"2368","Neither parent attended college","At least one parent attended college"
"2369",NA,NA
"2370",NA,"Neither parent attended college"
"2371","Neither parent attended college","At least one parent attended college"
"2372",NA,NA
"2373","Neither parent attended college","At least one parent attended college"
"2374","Neither parent attended college","Neither parent attended college"
"2375","Neither parent attended college","At least one parent attended college"
"2376","Neither parent attended college","Neither parent attended college"
"2377","Neither parent attended college","Neither parent attended college"
"2378","At least one parent attended college","Neither parent attended college"
"2379","At least one parent attended college","At least one parent attended college"
"2380","At least one parent attended college","At least one parent attended college"
"2381","Neither parent attended college","Neither parent attended college"
"2382",NA,NA
"2383",NA,"Neither parent attended college"
"2384",NA,"Neither parent attended college"
"2385",NA,"Neither parent attended college"
"2386","Neither parent attended college","At least one parent attended college"
"2387",NA,"At least one parent attended college"
"2388","Neither parent attended college","Neither parent attended college"
"2389","At least one parent attended college","Neither parent attended college"
"2390",NA,"Neither parent attended college"
"2391","At least one parent attended college","At least one parent attended college"
"2392","At least one parent attended college","Neither parent attended college"
"2393","Neither parent attended college","At least one parent attended college"
"2394","Neither parent attended college","Neither parent attended college"
"2395","Neither parent attended college","At least one parent attended college"
"2396","At least one parent attended college","Neither parent attended college"
"2397","Neither parent attended college","At least one parent attended college"
"2398","Neither parent attended college","At least one parent attended college"
"2399",NA,"Neither parent attended college"
"2400",NA,"Neither parent attended college"
"2401","Neither parent attended college",NA
"2402","At least one parent attended college","Neither parent attended college"
"2403",NA,NA
"2404","Neither parent attended college","At least one parent attended college"
"2405","Neither parent attended college","Neither parent attended college"
"2406","Neither parent attended college","At least one parent attended college"
"2407","Neither parent attended college","Neither parent attended college"
"2408",NA,"Neither parent attended college"
"2409",NA,"Neither parent attended college"
"2410",NA,"Neither parent attended college"
"2411","At least one parent attended college","At least one parent attended college"
"2412","At least one parent attended college","At least one parent attended college"
"2413","Neither parent attended college","Neither parent attended college"
"2414","Neither parent attended college","Neither parent attended college"
"2415",NA,"At least one parent attended college"
"2416",NA,"Neither parent attended college"
"2417","Neither parent attended college","Neither parent attended college"
"2418","Neither parent attended college","At least one parent attended college"
"2419","Neither parent attended college","At least one parent attended college"
"2420","Neither parent attended college","Neither parent attended college"
"2421","Neither parent attended college","Neither parent attended college"
"2422","Neither parent attended college","At least one parent attended college"
"2423","At least one parent attended college","At least one parent attended college"
"2424","Neither parent attended college","Neither parent attended college"
"2425","Neither parent attended college","At least one parent attended college"
"2426","At least one parent attended college","Neither parent attended college"
"2427",NA,"At least one parent attended college"
"2428","At least one parent attended college","At least one parent attended college"
"2429","Neither parent attended college","At least one parent attended college"
"2430","Neither parent attended college","Neither parent attended college"
"2431",NA,NA
"2432","Neither parent attended college","At least one parent attended college"
"2433","At least one parent attended college","Neither parent attended college"
"2434","At least one parent attended college","At least one parent attended college"
"2435","Neither parent attended college","Neither parent attended college"
"2436",NA,"Neither parent attended college"
"2437","Neither parent attended college","Neither parent attended college"
"2438","Neither parent attended college","Neither parent attended college"
"2439","Neither parent attended college","Neither parent attended college"
"2440",NA,"At least one parent attended college"
"2441","At least one parent attended college","Neither parent attended college"
"2442","At least one parent attended college","At least one parent attended college"
"2443",NA,"Neither parent attended college"
"2444",NA,NA
"2445","Neither parent attended college","Neither parent attended college"
"2446","Neither parent attended college","At least one parent attended college"
"2447","At least one parent attended college","Neither parent attended college"
"2448",NA,"At least one parent attended college"
"2449",NA,"Neither parent attended college"
"2450","Neither parent attended college","Neither parent attended college"
"2451","At least one parent attended college","Neither parent attended college"
"2452","At least one parent attended college","Neither parent attended college"
"2453","At least one parent attended college","At least one parent attended college"
"2454","Neither parent attended college","Neither parent attended college"
"2455","Neither parent attended college","At least one parent attended college"
"2456","At least one parent attended college","Neither parent attended college"
"2457","Neither parent attended college","Neither parent attended college"
"2458","Neither parent attended college","Neither parent attended college"
"2459","Neither parent attended college","Neither parent attended college"
"2460","At least one parent attended college","Neither parent attended college"
"2461",NA,"Neither parent attended college"
"2462","Neither parent attended college","At least one parent attended college"
"2463","Neither parent attended college","Neither parent attended college"
"2464","Neither parent attended college",NA
"2465","Neither parent attended college","Neither parent attended college"
"2466",NA,"Neither parent attended college"
"2467","Neither parent attended college","Neither parent attended college"
"2468","At least one parent attended college","At least one parent attended college"
"2469",NA,"Neither parent attended college"
"2470",NA,"Neither parent attended college"
"2471","At least one parent attended college","Neither parent attended college"
"2472","At least one parent attended college","Neither parent attended college"
"2473",NA,NA
"2474","Neither parent attended college","Neither parent attended college"
"2475","Neither parent attended college","Neither parent attended college"
"2476","At least one parent attended college","Neither parent attended college"
"2477","Neither parent attended college","Neither parent attended college"
"2478","At least one parent attended college","At least one parent attended college"
"2479","At least one parent attended college","Neither parent attended college"
"2480",NA,NA
"2481","Neither parent attended college",NA
"2482","At least one parent attended college","At least one parent attended college"
"2483","Neither parent attended college","Neither parent attended college"
"2484","Neither parent attended college","Neither parent attended college"
"2485","Neither parent attended college","Neither parent attended college"
"2486","At least one parent attended college","Neither parent attended college"
"2487",NA,"Neither parent attended college"
"2488","At least one parent attended college","Neither parent attended college"
"2489","At least one parent attended college","At least one parent attended college"
"2490","At least one parent attended college","At least one parent attended college"
"2491","Neither parent attended college","At least one parent attended college"
"2492","Neither parent attended college","Neither parent attended college"
"2493","Neither parent attended college","At least one parent attended college"
"2494","Neither parent attended college","Neither parent attended college"
"2495","At least one parent attended college","Neither parent attended college"
"2496","Neither parent attended college","Neither parent attended college"
"2497","At least one parent attended college","Neither parent attended college"
"2498",NA,"Neither parent attended college"
"2499",NA,NA
"2500",NA,"Neither parent attended college"
"2501","Neither parent attended college","Neither parent attended college"
"2502",NA,"At least one parent attended college"
"2503","Neither parent attended college","Neither parent attended college"
"2504","Neither parent attended college","Neither parent attended college"
"2505",NA,"At least one parent attended college"
"2506","Neither parent attended college",NA
"2507","Neither parent attended college","Neither parent attended college"
"2508","Neither parent attended college","Neither parent attended college"
"2509","Neither parent attended college","Neither parent attended college"
"2510","Neither parent attended college","Neither parent attended college"
"2511","Neither parent attended college","At least one parent attended college"
"2512","At least one parent attended college","Neither parent attended college"
"2513","At least one parent attended college","At least one parent attended college"
"2514","At least one parent attended college","At least one parent attended college"
"2515","Neither parent attended college","Neither parent attended college"
"2516","At least one parent attended college","Neither parent attended college"
"2517","Neither parent attended college","Neither parent attended college"
"2518","Neither parent attended college","Neither parent attended college"
"2519","Neither parent attended college","At least one parent attended college"
"2520",NA,"At least one parent attended college"
"2521","Neither parent attended college","Neither parent attended college"
"2522","Neither parent attended college","Neither parent attended college"
"2523","Neither parent attended college","Neither parent attended college"
"2524","At least one parent attended college","At least one parent attended college"
"2525","Neither parent attended college","At least one parent attended college"
"2526","At least one parent attended college","Neither parent attended college"
"2527","At least one parent attended college","Neither parent attended college"
"2528","Neither parent attended college","At least one parent attended college"
"2529",NA,NA
"2530",NA,"Neither parent attended college"
"2531","Neither parent attended college","Neither parent attended college"
"2532","Neither parent attended college","At least one parent attended college"
"2533","Neither parent attended college","Neither parent attended college"
"2534","Neither parent attended college",NA
"2535",NA,"Neither parent attended college"
"2536","At least one parent attended college","Neither parent attended college"
"2537","At least one parent attended college",NA
"2538","Neither parent attended college","Neither parent attended college"
"2539",NA,"At least one parent attended college"
"2540","At least one parent attended college","At least one parent attended college"
"2541","Neither parent attended college","Neither parent attended college"
"2542","At least one parent attended college","At least one parent attended college"
"2543",NA,NA
"2544","At least one parent attended college","At least one parent attended college"
"2545","At least one parent attended college","Neither parent attended college"
"2546",NA,"Neither parent attended college"
"2547","At least one parent attended college","At least one parent attended college"
"2548",NA,NA
"2549","Neither parent attended college","Neither parent attended college"
"2550","Neither parent attended college","Neither parent attended college"
"2551","At least one parent attended college","Neither parent attended college"
"2552","Neither parent attended college","At least one parent attended college"
"2553","Neither parent attended college","Neither parent attended college"
"2554",NA,"Neither parent attended college"
"2555","At least one parent attended college","Neither parent attended college"
"2556","Neither parent attended college","Neither parent attended college"
"2557","At least one parent attended college","At least one parent attended college"
"2558","Neither parent attended college","Neither parent attended college"
"2559",NA,"Neither parent attended college"
"2560","At least one parent attended college","At least one parent attended college"
"2561","Neither parent attended college","At least one parent attended college"
"2562","At least one parent attended college","Neither parent attended college"
"2563","Neither parent attended college","Neither parent attended college"
"2564",NA,NA
"2565","Neither parent attended college","At least one parent attended college"
"2566","Neither parent attended college","Neither parent attended college"
"2567","At least one parent attended college","At least one parent attended college"
"2568","Neither parent attended college","Neither parent attended college"
"2569","At least one parent attended college","Neither parent attended college"
"2570",NA,NA
"2571","At least one parent attended college","Neither parent attended college"
"2572",NA,"Neither parent attended college"
"2573","Neither parent attended college","Neither parent attended college"
"2574",NA,NA
"2575","Neither parent attended college","Neither parent attended college"
"2576","At least one parent attended college","At least one parent attended college"
"2577",NA,NA
"2578",NA,"At least one parent attended college"
"2579",NA,NA
"2580","Neither parent attended college","At least one parent attended college"
"2581",NA,"Neither parent attended college"
"2582","Neither parent attended college","Neither parent attended college"
"2583","Neither parent attended college","Neither parent attended college"
"2584","At least one parent attended college","Neither parent attended college"
"2585",NA,"At least one parent attended college"
"2586",NA,"At least one parent attended college"
"2587","At least one parent attended college","Neither parent attended college"
"2588","At least one parent attended college","At least one parent attended college"
"2589","Neither parent attended college","Neither parent attended college"
"2590","Neither parent attended college","Neither parent attended college"
"2591",NA,"At least one parent attended college"
"2592","Neither parent attended college","Neither parent attended college"
"2593","Neither parent attended college","Neither parent attended college"
"2594","Neither parent attended college","Neither parent attended college"
"2595","Neither parent attended college","Neither parent attended college"
"2596","Neither parent attended college",NA
"2597","Neither parent attended college","At least one parent attended college"
"2598","Neither parent attended college","Neither parent attended college"
"2599","Neither parent attended college","Neither parent attended college"
"2600","At least one parent attended college","At least one parent attended college"
"2601","At least one parent attended college","At least one parent attended college"
"2602","At least one parent attended college","Neither parent attended college"
"2603",NA,"At least one parent attended college"
"2604","Neither parent attended college",NA
"2605","Neither parent attended college","Neither parent attended college"
"2606","Neither parent attended college","Neither parent attended college"
"2607","Neither parent attended college","Neither parent attended college"
"2608","Neither parent attended college",NA
"2609","Neither parent attended college","Neither parent attended college"
"2610","Neither parent attended college","Neither parent attended college"
"2611","At least one parent attended college","At least one parent attended college"
"2612",NA,"At least one parent attended college"
"2613",NA,"At least one parent attended college"
"2614","Neither parent attended college","Neither parent attended college"
"2615","At least one parent attended college","At least one parent attended college"
"2616","Neither parent attended college",NA
"2617",NA,NA
"2618",NA,"Neither parent attended college"
"2619","At least one parent attended college","At least one parent attended college"
"2620","At least one parent attended college",NA
"2621","Neither parent attended college","At least one parent attended college"
"2622","Neither parent attended college","Neither parent attended college"
"2623","Neither parent attended college","Neither parent attended college"
"2624","At least one parent attended college","Neither parent attended college"
"2625","Neither parent attended college","Neither parent attended college"
"2626","Neither parent attended college","Neither parent attended college"
"2627","At least one parent attended college","At least one parent attended college"
"2628",NA,"Neither parent attended college"
"2629","At least one parent attended college","At least one parent attended college"
"2630",NA,"Neither parent attended college"
"2631","At least one parent attended college","At least one parent attended college"
"2632","At least one parent attended college","Neither parent attended college"
"2633","At least one parent attended college","At least one parent attended college"
"2634","Neither parent attended college","Neither parent attended college"
"2635",NA,"At least one parent attended college"
"2636","Neither parent attended college","Neither parent attended college"
"2637",NA,"Neither parent attended college"
"2638",NA,"At least one parent attended college"
"2639","At least one parent attended college","At least one parent attended college"
"2640","At least one parent attended college","At least one parent attended college"
"2641","At least one parent attended college","At least one parent attended college"
"2642","Neither parent attended college","Neither parent attended college"
"2643","At least one parent attended college","At least one parent attended college"
"2644","At least one parent attended college","At least one parent attended college"
"2645","At least one parent attended college","At least one parent attended college"
"2646","Neither parent attended college","At least one parent attended college"
"2647",NA,NA
"2648","Neither parent attended college","Neither parent attended college"
"2649","At least one parent attended college","At least one parent attended college"
"2650","Neither parent attended college","Neither parent attended college"
"2651",NA,NA
"2652",NA,"Neither parent attended college"
"2653","Neither parent attended college","Neither parent attended college"
"2654","At least one parent attended college","At least one parent attended college"
"2655","Neither parent attended college","At least one parent attended college"
"2656","Neither parent attended college","Neither parent attended college"
"2657","Neither parent attended college","At least one parent attended college"
"2658","Neither parent attended college","Neither parent attended college"
"2659",NA,"Neither parent attended college"
"2660",NA,"At least one parent attended college"
"2661","At least one parent attended college","At least one parent attended college"
"2662","Neither parent attended college","Neither parent attended college"
"2663","Neither parent attended college","Neither parent attended college"
"2664","Neither parent attended college","Neither parent attended college"
"2665","At least one parent attended college","Neither parent attended college"
"2666","Neither parent attended college","At least one parent attended college"
"2667","Neither parent attended college","Neither parent attended college"
"2668",NA,NA
"2669","Neither parent attended college","Neither parent attended college"
"2670","Neither parent attended college","Neither parent attended college"
"2671","Neither parent attended college","Neither parent attended college"
"2672","At least one parent attended college","At least one parent attended college"
"2673","Neither parent attended college","At least one parent attended college"
"2674","Neither parent attended college","Neither parent attended college"
"2675","Neither parent attended college","At least one parent attended college"
"2676",NA,"Neither parent attended college"
"2677","Neither parent attended college","At least one parent attended college"
"2678","Neither parent attended college","At least one parent attended college"
"2679",NA,"Neither parent attended college"
"2680","Neither parent attended college","Neither parent attended college"
"2681","Neither parent attended college","Neither parent attended college"
"2682","Neither parent attended college","Neither parent attended college"
"2683","At least one parent attended college","Neither parent attended college"
"2684",NA,"Neither parent attended college"
"2685","Neither parent attended college","Neither parent attended college"
"2686","Neither parent attended college",NA
"2687",NA,"Neither parent attended college"
"2688","At least one parent attended college","At least one parent attended college"
"2689","Neither parent attended college","Neither parent attended college"
"2690","Neither parent attended college","Neither parent attended college"
"2691","At least one parent attended college","Neither parent attended college"
"2692","Neither parent attended college","Neither parent attended college"
"2693",NA,"Neither parent attended college"
"2694","Neither parent attended college","Neither parent attended college"
"2695","Neither parent attended college","Neither parent attended college"
"2696",NA,"Neither parent attended college"
"2697",NA,"Neither parent attended college"
"2698","Neither parent attended college","At least one parent attended college"
"2699",NA,NA
"2700","At least one parent attended college","At least one parent attended college"
"2701","Neither parent attended college","At least one parent attended college"
"2702","Neither parent attended college","Neither parent attended college"
"2703","At least one parent attended college","At least one parent attended college"
"2704","At least one parent attended college","Neither parent attended college"
"2705",NA,NA
"2706","At least one parent attended college","Neither parent attended college"
"2707","Neither parent attended college","Neither parent attended college"
"2708","Neither parent attended college","Neither parent attended college"
"2709","Neither parent attended college","Neither parent attended college"
"2710","Neither parent attended college","Neither parent attended college"
"2711","Neither parent attended college","Neither parent attended college"
"2712",NA,NA
"2713","At least one parent attended college","At least one parent attended college"
"2714",NA,"At least one parent attended college"
"2715","Neither parent attended college","Neither parent attended college"
"2716",NA,"Neither parent attended college"
"2717","At least one parent attended college","At least one parent attended college"
"2718","Neither parent attended college","At least one parent attended college"
"2719","Neither parent attended college","Neither parent attended college"
"2720",NA,"Neither parent attended college"
"2721","Neither parent attended college","Neither parent attended college"
"2722","Neither parent attended college","Neither parent attended college"
"2723","At least one parent attended college","At least one parent attended college"
"2724","At least one parent attended college","At least one parent attended college"
"2725","Neither parent attended college","Neither parent attended college"
"2726","Neither parent attended college","At least one parent attended college"
"2727","Neither parent attended college","At least one parent attended college"
"2728","Neither parent attended college","At least one parent attended college"
"2729",NA,NA
"2730",NA,"Neither parent attended college"
"2731",NA,"Neither parent attended college"
"2732","Neither parent attended college","Neither parent attended college"
"2733","At least one parent attended college","Neither parent attended college"
"2734","Neither parent attended college","At least one parent attended college"
"2735","At least one parent attended college","Neither parent attended college"
"2736","Neither parent attended college","Neither parent attended college"
"2737","Neither parent attended college","Neither parent attended college"
"2738","At least one parent attended college","Neither parent attended college"
"2739","Neither parent attended college","Neither parent attended college"
"2740","Neither parent attended college","Neither parent attended college"
"2741","At least one parent attended college","Neither parent attended college"
"2742","At least one parent attended college","Neither parent attended college"
"2743",NA,"Neither parent attended college"
"2744","Neither parent attended college","At least one parent attended college"
"2745","Neither parent attended college","Neither parent attended college"
"2746","At least one parent attended college","At least one parent attended college"
"2747",NA,NA
"2748","Neither parent attended college","Neither parent attended college"
"2749","Neither parent attended college","At least one parent attended college"
"2750","At least one parent attended college","Neither parent attended college"
"2751",NA,"At least one parent attended college"
"2752","At least one parent attended college","Neither parent attended college"
"2753","Neither parent attended college","At least one parent attended college"
"2754","Neither parent attended college","Neither parent attended college"
"2755","At least one parent attended college","Neither parent attended college"
"2756",NA,"Neither parent attended college"
"2757","At least one parent attended college","At least one parent attended college"
