"idnum","fparents_edustatus_w2345","mparents_edustatus_w2345"
"0222","At least one parent attended college","Neither parent attended college"
"0223","At least one parent attended college","Neither parent attended college"
"0224","Neither parent attended college","Neither parent attended college"
"0225","At least one parent attended college","Neither parent attended college"
"0226","At least one parent attended college","Neither parent attended college"
"0227","Neither parent attended college","At least one parent attended college"
"0228","Neither parent attended college","At least one parent attended college"
"0229","Neither parent attended college","Neither parent attended college"
"0230","At least one parent attended college","At least one parent attended college"
"0231",NA,"Neither parent attended college"
"0232",NA,"Neither parent attended college"
"0233",NA,"At least one parent attended college"
"0234","At least one parent attended college","At least one parent attended college"
"0235","Neither parent attended college","Neither parent attended college"
"0236","Neither parent attended college","At least one parent attended college"
"0237","At least one parent attended college","At least one parent attended college"
"0238","Neither parent attended college","Neither parent attended college"
"0239",NA,NA
"0240","Neither parent attended college","Neither parent attended college"
"0241","Neither parent attended college","Neither parent attended college"
"0242",NA,"Neither parent attended college"
"0243","Neither parent attended college","Neither parent attended college"
"0244","Neither parent attended college",NA
"0245","Neither parent attended college","Neither parent attended college"
"0246","At least one parent attended college","Neither parent attended college"
"0247","Neither parent attended college","At least one parent attended college"
"0248","Neither parent attended college","Neither parent attended college"
"0249","Neither parent attended college","Neither parent attended college"
"0250","Neither parent attended college",NA
"0251","Neither parent attended college","Neither parent attended college"
"0252","At least one parent attended college","At least one parent attended college"
"0253",NA,"Neither parent attended college"
"0254","Neither parent attended college","Neither parent attended college"
"0255","At least one parent attended college","At least one parent attended college"
"0256",NA,"Neither parent attended college"
"0257","Neither parent attended college","Neither parent attended college"
"0258","At least one parent attended college","At least one parent attended college"
"0259","Neither parent attended college","Neither parent attended college"
"0260","Neither parent attended college","Neither parent attended college"
"0261","At least one parent attended college","Neither parent attended college"
"0262","Neither parent attended college","Neither parent attended college"
"0263","Neither parent attended college","At least one parent attended college"
"0264","Neither parent attended college","At least one parent attended college"
"0265","At least one parent attended college","Neither parent attended college"
"0266","Neither parent attended college","Neither parent attended college"
"0267",NA,"At least one parent attended college"
"0268","At least one parent attended college","Neither parent attended college"
"0269","Neither parent attended college",NA
"0270","Neither parent attended college","At least one parent attended college"
"0271","Neither parent attended college","Neither parent attended college"
"0272",NA,"Neither parent attended college"
"0273",NA,"At least one parent attended college"
"0274","Neither parent attended college","Neither parent attended college"
"0275","Neither parent attended college","Neither parent attended college"
"0276","Neither parent attended college","At least one parent attended college"
"0277",NA,"Neither parent attended college"
"0278","Neither parent attended college","Neither parent attended college"
"0279","Neither parent attended college","Neither parent attended college"
"0280","Neither parent attended college","Neither parent attended college"
"0281","Neither parent attended college","Neither parent attended college"
"0282","Neither parent attended college","At least one parent attended college"
"0283",NA,"Neither parent attended college"
"0284","Neither parent attended college","Neither parent attended college"
"0285","At least one parent attended college",NA
"0286","Neither parent attended college","At least one parent attended college"
"0287","At least one parent attended college","Neither parent attended college"
"0288","At least one parent attended college","Neither parent attended college"
"0289","Neither parent attended college","Neither parent attended college"
"0290",NA,NA
"0291",NA,"Neither parent attended college"
"0292",NA,NA
"0293","At least one parent attended college","Neither parent attended college"
"0294","Neither parent attended college","At least one parent attended college"
"0295","Neither parent attended college","Neither parent attended college"
"0296","At least one parent attended college","Neither parent attended college"
"0297","Neither parent attended college","Neither parent attended college"
"0298","Neither parent attended college",NA
"0299","Neither parent attended college","Neither parent attended college"
"0300","Neither parent attended college","At least one parent attended college"
"0301","Neither parent attended college","Neither parent attended college"
"0302","At least one parent attended college","Neither parent attended college"
"0303","At least one parent attended college","Neither parent attended college"
"0304","At least one parent attended college","Neither parent attended college"
"0305","At least one parent attended college",NA
"0306","Neither parent attended college","At least one parent attended college"
"0307","At least one parent attended college","Neither parent attended college"
"0308","Neither parent attended college","Neither parent attended college"
"0309","Neither parent attended college","Neither parent attended college"
"0310","Neither parent attended college","Neither parent attended college"
"0311",NA,"Neither parent attended college"
"0312","At least one parent attended college",NA
"0313","At least one parent attended college","At least one parent attended college"
"0314","Neither parent attended college","Neither parent attended college"
"0315","At least one parent attended college","Neither parent attended college"
"0316","Neither parent attended college","Neither parent attended college"
"0317",NA,"Neither parent attended college"
"0318","At least one parent attended college",NA
"0319","At least one parent attended college","Neither parent attended college"
"0320","Neither parent attended college","Neither parent attended college"
"0321","At least one parent attended college","At least one parent attended college"
"0322",NA,"Neither parent attended college"
"0323",NA,"At least one parent attended college"
"0324",NA,"Neither parent attended college"
"0325",NA,"Neither parent attended college"
"0326","Neither parent attended college","Neither parent attended college"
