"idnum","k6b20a","k6b20b","k6b20c","k6b20d"
"0325","C","B","D or lower","A"
"0326","A","A","B","B"
"0327","B","C","A","B"
"0328","A","B","B",NA
"0329",NA,NA,NA,NA
"0330",NA,NA,NA,NA
"0331","A","B","B","B"
"0332","B","C","A","D or lower"
"0333","B","B","B","A"
"0334","B","C","A","A"
"0335",NA,NA,NA,NA
"0336","A","A","A","A"
"0337","A","A",NA,"A"
"0338","B","B",NA,"C"
"0339","A","B","A","A"
"0340",NA,NA,NA,NA
"0341","A","C","D or lower","B"
"0342",NA,NA,NA,NA
"0343","B","B",NA,"A"
"0344","B","B","C","C"
"0345","A","B","A","B"
"0346",NA,NA,NA,NA
"0347","B","B","C","B"
"0348","A","A","A","A"
"0349","A","A","B","C"
"0350","B","B","C","B"
"0351",NA,NA,"C","B"
"0352",NA,NA,NA,NA
"0353",NA,NA,NA,NA
"0354",NA,NA,NA,NA
"0355","B","B","A","B"
"0356",NA,NA,NA,NA
"0357","A","C","B","A"
"0358","B","D or lower","C","C"
"0359","C","C","B","B"
"0360","A","A","B","B"
"0361","A","C","C","B"
"0362","C","D or lower","B","A"
"0363","B","C","B","B"
"0364",NA,NA,NA,NA
"0365","C","B","C","D or lower"
"0366","A","A","B","C"
"0367","C","C","B","C"
"0368",NA,NA,NA,NA
"0369",NA,NA,NA,NA
"0370","A","C","B","D or lower"
"0371",NA,NA,NA,NA
"0372",NA,NA,NA,NA
"0373",NA,NA,NA,NA
"0374",NA,NA,NA,NA
"0375",NA,NA,NA,NA
"0376",NA,NA,NA,NA
"0377","C","B","B","C"
"0378","B","B","A","B"
"0379","A","B","B","B"
"0380","A","B","A","B"
"0381",NA,NA,NA,NA
"0382","B","C","B","C"
"0383","A","B","B","A"
"0384","A","A","A","A"
"0385","A","C","B","B"
"0386","A","B","B","B"
"0387","C","C","C","B"
"0388","B","C","B","C"
"0389","B","A",NA,"B"
"0390","D or lower","D or lower","C","D or lower"
"0391","A","A","A","A"
"0392",NA,NA,NA,NA
"0393","A","A","B","B"
"0394","A","B","A","C"
"0395",NA,NA,NA,NA
"0396",NA,NA,NA,NA
"0397","A","A","A","A"
"0398",NA,NA,NA,NA
"0399","B","C","B","B"
"0400",NA,NA,NA,NA
"0401","B","A","B","A"
"0402","B","C","A","B"
"0403","C","B","B","B"
"0404","B","A","A",NA
"0405","B","C","B","B"
"0406","B","A",NA,"B"
"0407","A","A","B","A"
"0408",NA,NA,NA,NA
"0409",NA,NA,NA,NA
"0410","B","A","B","A"
"0411","C","C","B","C"
"0412",NA,NA,NA,NA
"0413",NA,NA,NA,NA
"0414","A","B","A","A"
"0415","B","B","C","C"
"0416","A","C","A","B"
"0417","B","A","A","B"
"0418","B","C","C","C"
"0419","B","C","B","C"
"0420","B","B","A","C"
"0421",NA,NA,NA,NA
"0422",NA,NA,NA,NA
"0423",NA,NA,NA,NA
"0424","B","A","B","A"
"0425","A","A","B","A"
"0426",NA,NA,NA,NA
"0427","B","B","C","B"
"0428",NA,NA,NA,NA
"0429",NA,NA,NA,NA
"0430","B","B","A","A"
"0431","B","C","C","C"
"0432",NA,NA,NA,NA
"0433","C","B","B","C"
"0434","B","B","A","A"
"0435",NA,NA,NA,NA
"0436","C","B","D or lower","A"
"0437",NA,NA,NA,NA
"0438","B","C","C","C"
"0439","B","D or lower","A","C"
"0440",NA,NA,NA,NA
"0441","B","C","A","B"
"0442","A","A","B","A"
"0443","B","B","B","A"
"0444","B","C","B",NA
"0445",NA,NA,NA,NA
"0446","B",NA,"B","B"
"0447",NA,NA,NA,NA
"0448",NA,NA,NA,NA
"0449","B","A","B","B"
"0450","C","C","C","B"
"0451","D or lower","C","B","C"
"0452","A","C","B","A"
"0453","B","B","A","A"
"0454","B","C","A","A"
"0455","B","C","C","A"
"0456","A","B","A","B"
"0457","A","A","B","B"
"0458",NA,NA,NA,NA
"0459","B","A","A","B"
"0460","B","B","B","B"
"0461",NA,NA,NA,NA
"0462",NA,NA,NA,NA
"0463","B","C","B","C"
"0464",NA,NA,NA,NA
"0465","B","C","A","B"
"0466","C","C","C","C"
"0467",NA,NA,NA,NA
"0468","C","B","C","C"
"0469","C","C","D or lower","B"
"0470","B","B","B","A"
"0471","C","C","B","B"
"0472",NA,NA,NA,NA
"0473","A","A","A","A"
"0474","B","A","B","A"
"0475","C","B","C","A"
"0476","C","A","C","C"
"0477",NA,NA,NA,NA
"0478","B","B","B","C"
"0479",NA,NA,NA,NA
"0480","B","C","B","B"
"0481","A","A","A","A"
"0482","A","B","A","B"
"0483",NA,NA,NA,NA
"0484",NA,NA,NA,NA
"0485",NA,NA,NA,NA
"0486","B","C","A","B"
"0487","A","A","A","A"
"0488","C","B","A","B"
"0489",NA,NA,NA,NA
"0490","B","C","A","B"
"0491","C","C","C","B"
"0492","C","C","A","B"
"0493","B","B","C","B"
"0494",NA,NA,NA,NA
"0495","B","B","A","A"
"0496",NA,NA,NA,NA
"0497","B","B","B","B"
"0498","B","A",NA,"D or lower"
"0499",NA,NA,NA,NA
"0500","C","B","C","B"
"0501","B","B","A","B"
"0502","B","B","C","D or lower"
"0503",NA,NA,NA,NA
"0504",NA,NA,NA,NA
"0505",NA,NA,NA,NA
"0506","B","B","B","B"
"0507",NA,NA,NA,NA
"0508",NA,NA,NA,NA
"0509","C","C","B","D or lower"
"0510","B","C","A",NA
"0511","B","B","A","C"
"0512","A","C","D or lower","D or lower"
"0513",NA,NA,NA,NA
"0514","C","B",NA,"C"
"0515","B","B","C","B"
"0516","C","D or lower","B","A"
"0517","B","B","C","B"
"0518",NA,NA,NA,NA
"0519","B","B","C",NA
"0520","D or lower","B","D or lower","C"
"0521",NA,NA,NA,NA
"0522",NA,NA,NA,NA
"0523","D or lower",NA,"D or lower",NA
"0524","B","C","B","B"
"0525","A","B","B","C"
"0526",NA,NA,NA,NA
"0527","A","A","A","A"
"0528",NA,NA,NA,NA
"0529","C","B","C","C"
"0530","A","A","A","A"
"0531","B","B","A","C"
"0532","A","B","A","B"
"0533","A","B","C","A"
"0534",NA,NA,NA,NA
"0535","A","A","B","A"
"0536","B","B","A","C"
"0537",NA,NA,NA,NA
"0538","B","B","B","B"
"0539",NA,NA,NA,NA
"0540","D or lower","D or lower","C","B"
"0541","B","B","C","A"
"0542",NA,NA,NA,NA
"0543","B","B","B","B"
"0544","C","C","B","C"
"0545",NA,NA,NA,NA
"0546","A","A","A","A"
"0547","D or lower","A","D or lower",NA
"0548",NA,NA,NA,NA
"0549",NA,NA,NA,NA
"0550","C","C",NA,"A"
"0551",NA,NA,NA,NA
"0552","B","B","C","C"
"0553",NA,NA,NA,NA
"0554","B","C","C","B"
"0555",NA,NA,NA,NA
"0556","B","C","A","A"
"0557","C","B","C","A"
"0558","B","A","B","B"
"0559",NA,NA,NA,NA
"0560","B","B","A","B"
"0561",NA,NA,NA,NA
"0562","A","A","B","A"
"0563","B","C","D or lower","B"
"0564","B","B","B","B"
"0565",NA,NA,NA,NA
"0566",NA,NA,NA,NA
"0567","B","B","C","C"
"0568","B","B","B","B"
"0569",NA,NA,NA,NA
"0570","C","D or lower","B","C"
"0571",NA,NA,NA,NA
"0572","B","A","B","A"
"0573",NA,NA,NA,NA
"0574","B","C",NA,"B"
"0575","A","A","B","B"
"0576","A","B","C","C"
"0577","B",NA,"C","D or lower"
"0578","A","A","B","B"
"0579","B","A","A","C"
"0580",NA,NA,NA,NA
"0581","A","A","B","A"
"0582","C","A","B","B"
"0583",NA,NA,NA,NA
"0584",NA,NA,NA,NA
"0585",NA,NA,NA,NA
"0586","B","C","C",NA
"0587","A","A",NA,"A"
"0588",NA,NA,NA,NA
"0589","A","C","A","A"
"0590","B","A","B","B"
"0591","C","D or lower","D or lower","C"
"0592","B","B","B","C"
"0593",NA,NA,NA,NA
"0594","C","C","C","B"
"0595",NA,NA,NA,NA
"0596","B","A","A","A"
"0597","B","B","A","C"
"0598","A","B","B","A"
"0599","C","B","B","C"
"0600","B","B",NA,NA
"0601",NA,NA,NA,NA
"0602","B","A","C","B"
"0603","C","C","B","C"
"0604","B","A","B","B"
"0605",NA,NA,NA,NA
"0606","B","B","C","B"
"0607","B","B","A","B"
"0608",NA,NA,NA,NA
"0609",NA,NA,NA,NA
"0610",NA,NA,NA,NA
"0611","A","B","C","C"
"0612","B","B","B","B"
"0613",NA,NA,NA,NA
"0614","C","A","B","C"
"0615","A","B","B","B"
"0616","A","D or lower","B","A"
"0617","B","C","A","B"
"0618","B","B","B","A"
"0619","B","A","C","C"
"0620","C","D or lower","C","A"
"0621",NA,NA,NA,NA
"0622",NA,NA,NA,NA
"0623",NA,NA,NA,NA
"0624","B","B","A","A"
"0625","B","B","B","A"
"0626","B","D or lower","D or lower","C"
"0627","A","A","B","B"
"0628","D or lower","C","D or lower","B"
"0629",NA,"A",NA,"C"
"0630",NA,NA,NA,NA
"0631","C","B",NA,NA
"0632","D or lower","D or lower","C","B"
"0633",NA,NA,NA,NA
"0634","A","B","C","A"
"0635",NA,NA,NA,NA
"0636","B","C","B","C"
"0637",NA,NA,NA,NA
"0638","C","C","D or lower","D or lower"
"0639","B","B",NA,"B"
"0640","C","C","C","B"
"0641","A","A","A","A"
"0642","B","D or lower","D or lower","D or lower"
"0643","B","A","A","B"
"0644",NA,NA,NA,NA
"0645",NA,NA,NA,NA
"0646","D or lower","D or lower","B","C"
"0647",NA,NA,NA,NA
"0648","D or lower","D or lower",NA,"D or lower"
"0649","B","C","B","B"
"0650","A","A","A","A"
"0651",NA,NA,NA,NA
"0652","B","B","A","B"
"0653","B","B","A","C"
"0654","A","B","A","B"
"0655","C","B","C","C"
"0656","A","A","C","B"
"0657","B","B","A","B"
"0658",NA,NA,NA,NA
"0659","C","C","B","B"
"0660",NA,NA,NA,NA
"0661",NA,NA,NA,NA
"0662","B","C","B",NA
"0663","D or lower",NA,"C",NA
"0664","B","A","C","B"
"0665","A","A","A","A"
"0666","C","B","B","D or lower"
"0667",NA,NA,NA,NA
"0668","C","B","C","C"
"0669","A","A","B","B"
"0670",NA,NA,NA,NA
"0671","D or lower","D or lower","C","B"
"0672","B","C","B","C"
"0673","C","B","B","C"
"0674","B","C",NA,"C"
"0675","A","B","A","B"
"0676","C","C","C","D or lower"
