"idnum","k6b20a","k6b20b","k6b20c","k6b20d"
"1884",NA,"B","A","B"
"1885",NA,NA,NA,NA
"1886",NA,NA,NA,NA
"1887","C","D or lower","C","C"
"1888","A","A","A","A"
"1889","A","A","B","A"
"1890","C","B","B","A"
"1891","A","B","B","B"
"1892","B","A",NA,"A"
"1893","B","C","B","C"
"1894",NA,NA,NA,NA
"1895","B","B","B","A"
"1896","B","A","A","A"
"1897","B","A",NA,"C"
"1898",NA,NA,NA,NA
"1899",NA,NA,NA,NA
"1900",NA,NA,NA,NA
"1901","B","C","B","C"
"1902","B","C","D or lower","D or lower"
"1903",NA,NA,NA,NA
"1904",NA,NA,NA,NA
"1905","C","B","D or lower","A"
"1906",NA,NA,NA,NA
"1907","A","B","A","A"
"1908",NA,NA,NA,NA
"1909",NA,NA,NA,NA
"1910",NA,NA,NA,NA
"1911","C","D or lower","C","C"
"1912","A","B","A","A"
"1913",NA,NA,NA,NA
"1914","B","A","A","D or lower"
"1915",NA,NA,NA,NA
"1916","A","A","A","A"
"1917",NA,NA,NA,NA
"1918","B","A","A","A"
"1919","B","B","B","B"
"1920","A","B","A","A"
"1921","C",NA,"A","B"
"1922","C","A","A","A"
"1923","A","B","A","C"
"1924",NA,"C","C","D or lower"
"1925","B","B",NA,"D or lower"
"1926",NA,NA,NA,NA
"1927",NA,NA,NA,NA
"1928","B","B","C","D or lower"
"1929","A","B","A","C"
"1930","C","A","C","A"
"1931","B","B","A","C"
"1932","C","D or lower","D or lower","B"
"1933","A","B","C","B"
"1934","D or lower","D or lower","D or lower","D or lower"
"1935","C","D or lower","B","A"
"1936","D or lower","D or lower","C","B"
"1937","A","B","A","B"
"1938","C","C","B","B"
"1939","B","C","B","A"
"1940","A","A","A","B"
"1941","B","B",NA,"B"
"1942","C","C","D or lower","C"
"1943","B","B","B","A"
"1944","D or lower","D or lower","A","D or lower"
"1945",NA,NA,NA,NA
"1946",NA,NA,NA,NA
"1947","A","B",NA,"A"
"1948","B","B","A","C"
"1949","B","C","B","A"
"1950",NA,NA,NA,NA
"1951",NA,NA,NA,NA
"1952",NA,NA,NA,NA
"1953","B","D or lower","A","B"
"1954",NA,NA,NA,NA
"1955",NA,NA,NA,NA
"1956","B","C",NA,"D or lower"
"1957","D or lower","D or lower","D or lower","D or lower"
"1958",NA,NA,NA,NA
"1959",NA,NA,NA,NA
"1960","A","A","A","A"
"1961",NA,NA,NA,NA
"1962","C","C","B","C"
"1963",NA,NA,NA,NA
"1964","A","A","A","A"
"1965",NA,NA,"B",NA
"1966","A","A","B","A"
"1967",NA,NA,NA,NA
"1968",NA,NA,NA,NA
"1969",NA,NA,NA,NA
"1970",NA,NA,NA,NA
"1971",NA,NA,NA,NA
"1972","A","A","C","B"
"1973","A","C","A","B"
"1974","A","B","C","C"
"1975",NA,NA,NA,NA
"1976",NA,NA,NA,NA
"1977","C","C",NA,"D or lower"
"1978",NA,NA,NA,NA
"1979","A","C","B","D or lower"
"1980","A","B","B","C"
"1981","B","B","A","A"
"1982",NA,NA,NA,NA
"1983","D or lower","B","A","B"
"1984","C",NA,"B","A"
"1985",NA,NA,NA,NA
"1986","A","A","A","A"
"1987",NA,NA,NA,NA
"1988","B","B","A","B"
"1989","A","A","A","B"
"1990","B","A","B","A"
"1991",NA,"C","B","C"
"1992",NA,NA,NA,NA
"1993",NA,NA,NA,NA
"1994",NA,NA,NA,NA
"1995","B","B","B","A"
"1996","C","A","B","B"
"1997",NA,NA,NA,NA
"1998",NA,NA,NA,NA
"1999",NA,NA,NA,NA
"2000","B","C","B","A"
"2001",NA,NA,NA,NA
"2002",NA,NA,NA,NA
"2003","B","B","B","B"
"2004",NA,NA,NA,NA
"2005",NA,NA,NA,NA
"2006","A","B","A","A"
"2007","B","D or lower","D or lower","D or lower"
"2008","A","B","A","B"
"2009",NA,NA,NA,NA
"2010",NA,NA,NA,NA
"2011","C","C","B","A"
"2012",NA,NA,NA,NA
"2013","B","C","A","A"
"2014",NA,NA,NA,NA
"2015","B","C","B","A"
"2016","A","A","A","A"
"2017","B","D or lower",NA,"B"
"2018",NA,NA,"D or lower","D or lower"
"2019","A","B","A","A"
"2020","C","B","B","C"
"2021","B","C","C","C"
"2022",NA,NA,NA,NA
"2023","B","D or lower","D or lower","A"
"2024",NA,NA,NA,NA
"2025","A","B","A","A"
"2026","B","D or lower","C","D or lower"
"2027","C","C","A","B"
"2028","D or lower",NA,"B","B"
"2029","C","C","A","A"
"2030","B","B","B","B"
"2031","D or lower",NA,"C","C"
"2032",NA,NA,NA,NA
"2033","A","A","A","B"
"2034","C","B",NA,"D or lower"
"2035","B","D or lower","A","C"
"2036","A","A","A","A"
"2037",NA,NA,NA,NA
"2038","B","A","B","C"
"2039","C","C","D or lower","C"
"2040","A","A","B","B"
"2041","D or lower","D or lower","C","C"
"2042","B","B","B","A"
"2043",NA,NA,NA,NA
"2044",NA,NA,NA,NA
"2045",NA,NA,NA,NA
"2046",NA,NA,NA,NA
"2047",NA,NA,NA,NA
"2048",NA,NA,NA,NA
"2049","B","A","B","A"
"2050","B",NA,"C","D or lower"
"2051",NA,NA,NA,NA
"2052","B","B","C","C"
"2053","D or lower","B","A","D or lower"
"2054",NA,NA,NA,NA
"2055","B","B","B","B"
"2056","B","B",NA,"B"
"2057","B","C","A","C"
"2058",NA,NA,NA,NA
"2059","C","D or lower","B","C"
"2060","B","B","A","A"
"2061","A",NA,"A","A"
"2062","A","B","C","B"
"2063","A","C","A","C"
"2064","B","C","B","A"
"2065","A","A","C","B"
"2066","C","B","B","B"
"2067","C","A","C","C"
"2068","C","C","B","C"
"2069","C","D or lower",NA,"B"
"2070",NA,NA,NA,NA
"2071","D or lower","D or lower","C","C"
"2072","B","D or lower",NA,"A"
"2073","B","A","C","C"
"2074",NA,NA,NA,NA
"2075","B","B","A","C"
"2076",NA,NA,NA,NA
"2077",NA,NA,"A","D or lower"
"2078","B","C","C","A"
"2079","B","C","A","B"
"2080",NA,NA,NA,NA
"2081","C","B","A","B"
"2082","A","A","B","A"
"2083","C","C","B","C"
"2084","B","B","A","A"
"2085","B","C","C","C"
"2086","A","A","A","A"
"2087","A","A","A","A"
"2088","C","B","B","D or lower"
"2089","A","B","C","B"
"2090","B","A","B","B"
"2091",NA,NA,NA,NA
"2092","B","B","B","B"
"2093","C","D or lower","C","D or lower"
"2094","B","B","A","A"
"2095","C","B","B","C"
"2096",NA,NA,NA,NA
"2097","C","D or lower","B","A"
"2098","B","B",NA,"B"
"2099","C","B","B","D or lower"
"2100",NA,NA,NA,NA
"2101","B","B","A","A"
"2102","A","A","A","A"
"2103","B","A","B","B"
"2104","B","B",NA,"A"
"2105",NA,NA,NA,NA
"2106",NA,NA,NA,NA
"2107","C","A","D or lower","D or lower"
"2108","A","C",NA,"B"
"2109",NA,NA,NA,NA
"2110",NA,NA,NA,NA
"2111","D or lower","D or lower","B","D or lower"
"2112","D or lower","D or lower","B","C"
"2113","A","B","A","B"
"2114","A","A","A","B"
"2115","B","C","B","A"
"2116",NA,NA,NA,NA
"2117",NA,NA,NA,NA
"2118","C","B","C","C"
"2119",NA,NA,NA,NA
"2120","B","C","A","B"
"2121","B","C","B","B"
"2122","C","A","C","A"
"2123","A","B","A","B"
"2124","B","C","A","C"
"2125","C","C","A","B"
"2126",NA,NA,NA,NA
"2127",NA,NA,NA,NA
"2128","B","A","B","A"
"2129","B","A","A","A"
"2130","C","B","A","A"
"2131","C","C","D or lower","B"
"2132","C","B","B","B"
"2133","A","C","A","A"
"2134","C","D or lower","D or lower","A"
"2135",NA,NA,NA,NA
"2136",NA,NA,NA,NA
"2137","C","C",NA,"A"
"2138",NA,NA,NA,NA
"2139","C","D or lower","C","C"
"2140","B","B","B","A"
"2141",NA,NA,NA,NA
"2142","B","B","B","B"
"2143","B","A","A","A"
"2144","B","B","C","B"
"2145","C","B","B","B"
"2146","C","B",NA,"C"
"2147",NA,NA,NA,NA
"2148","D or lower","C","C","B"
"2149","C","C","B","B"
"2150","B","B",NA,NA
"2151","A","B","A","A"
"2152",NA,NA,NA,NA
"2153","C",NA,"C",NA
"2154",NA,NA,NA,NA
"2155","A","B","C","A"
"2156","B","B","A","B"
"2157","D or lower","C","B","B"
"2158",NA,NA,NA,NA
"2159","A","C","B","B"
"2160","A","D or lower","C","A"
"2161",NA,NA,NA,NA
"2162","B","A","A","B"
"2163",NA,NA,NA,NA
"2164","B","A","B","C"
"2165",NA,NA,NA,NA
"2166",NA,NA,NA,NA
"2167",NA,NA,NA,NA
"2168","B","A","A","A"
"2169",NA,NA,NA,NA
"2170",NA,NA,NA,NA
"2171",NA,NA,NA,NA
"2172",NA,NA,NA,NA
"2173",NA,NA,NA,NA
"2174",NA,NA,NA,NA
"2175","C","B","B","A"
"2176","B","C","B","C"
"2177",NA,NA,NA,NA
"2178",NA,NA,NA,NA
"2179",NA,NA,NA,NA
"2180","B","B","C","C"
"2181","A","C","B","A"
"2182","B","A","C","C"
"2183","B","B","B","B"
"2184","A","A","B","B"
"2185",NA,NA,NA,NA
"2186","C","B",NA,"D or lower"
"2187","B","B","A","B"
"2188",NA,NA,NA,NA
"2189",NA,NA,NA,NA
"2190",NA,NA,NA,NA
"2191","A","A","A","B"
"2192",NA,NA,NA,NA
"2193","A","D or lower","C","B"
"2194","C","D or lower","A","C"
"2195",NA,NA,NA,NA
"2196",NA,NA,NA,NA
"2197","B","B","B","B"
"2198","B","A","B","A"
"2199",NA,NA,NA,NA
"2200","B","B","B","B"
"2201","B","D or lower","C","A"
"2202",NA,NA,NA,NA
"2203","C",NA,NA,"B"
"2204",NA,NA,NA,NA
"2205","D or lower","D or lower","B","A"
"2206","C","C","D or lower","C"
"2207","C","D or lower","C",NA
"2208",NA,NA,NA,NA
"2209",NA,NA,NA,NA
"2210","A","B","B","A"
"2211","C","C","B","B"
"2212",NA,NA,NA,NA
"2213",NA,NA,NA,NA
"2214","B","C","B","B"
"2215","B","B","C","C"
"2216","D or lower",NA,"A","C"
"2217","A","B","B","B"
"2218","B","C","B","B"
"2219",NA,NA,NA,NA
"2220","B","B","A","A"
"2221","A","A","A","A"
"2222","A","C","B","C"
"2223","C","B","C","C"
"2224","B","B","A","B"
"2225","B","B",NA,"C"
"2226",NA,NA,NA,NA
"2227",NA,NA,NA,NA
"2228",NA,NA,NA,NA
"2229","B","B","C","B"
"2230",NA,NA,NA,NA
"2231",NA,NA,NA,NA
"2232","A","A","A","A"
"2233","B","B","A","B"
"2234",NA,NA,NA,NA
"2235","B","B","B","B"
"2236","B","D or lower","A","B"
"2237",NA,NA,NA,NA
"2238","A","B",NA,"A"
"2239",NA,NA,NA,NA
"2240","C","D or lower","B","B"
"2241","C","B","B","C"
"2242",NA,NA,NA,NA
"2243","B","B","A","B"
"2244","A","C","B",NA
"2245","D or lower",NA,"C","C"
"2246","A","B","C","A"
"2247",NA,NA,NA,NA
"2248","A","B","B","A"
"2249",NA,NA,NA,NA
"2250",NA,NA,NA,NA
"2251",NA,NA,NA,NA
"2252","B","A",NA,"A"
"2253",NA,NA,NA,NA
"2254","B","A","B","A"
"2255",NA,NA,NA,NA
"2256","B","C","B","B"
"2257","C","B","B","C"
"2258","B","B","B","A"
"2259","A","A",NA,"B"
"2260","C","B",NA,"C"
"2261","A","A","A","A"
"2262",NA,NA,NA,NA
"2263","B","C",NA,"C"
"2264","B","D or lower","B","B"
"2265",NA,NA,NA,NA
"2266",NA,"B",NA,NA
"2267","C",NA,"C","D or lower"
"2268","B","B","C","B"
"2269","B","D or lower","C","D or lower"
"2270",NA,NA,NA,NA
"2271","C","A","A","B"
"2272",NA,NA,NA,NA
"2273","A","A","A","A"
"2274",NA,NA,NA,NA
"2275",NA,NA,NA,NA
"2276","D or lower","C","C","B"
"2277","B",NA,NA,NA
"2278","B","A","B","B"
"2279","A","A","A","A"
"2280",NA,NA,NA,NA
"2281","A","A","A","A"
"2282",NA,NA,NA,NA
"2283","A","B","B","A"
"2284",NA,NA,NA,NA
"2285",NA,NA,NA,NA
"2286",NA,NA,NA,NA
"2287","C","D or lower","C","C"
"2288","A","A","C","B"
"2289",NA,NA,NA,NA
"2290","A","A","A","B"
"2291",NA,NA,NA,NA
"2292","B","B","C","C"
"2293",NA,NA,NA,NA
"2294","B","B","C","C"
"2295","C","C","B","C"
"2296","B","C","B","B"
"2297",NA,NA,NA,NA
"2298","C","B","C","C"
"2299","B","D or lower","B","B"
"2300","B","B","C","B"
"2301","A","B","A","A"
"2302",NA,NA,NA,NA
"2303","A","A","B","C"
"2304","A","A","B","B"
"2305","B","A","A","A"
"2306","A","A","A","A"
"2307",NA,NA,NA,NA
"2308","A","B","A","B"
"2309",NA,NA,NA,NA
"2310",NA,NA,NA,NA
"2311","A","A",NA,"A"
"2312","A","A",NA,"A"
"2313",NA,NA,NA,NA
"2314",NA,NA,NA,NA
"2315","B","D or lower","C","B"
"2316",NA,NA,NA,NA
"2317","C","B","C","A"
"2318","B","A","A","C"
"2319",NA,NA,NA,NA
"2320","A","C","A","B"
"2321",NA,NA,NA,NA
"2322",NA,NA,NA,NA
"2323","A","B","A","B"
"2324","B","C","C","B"
"2325","A","C","A","C"
"2326","B","C",NA,"C"
"2327",NA,NA,NA,NA
"2328",NA,NA,NA,NA
"2329","B","C","B","B"
"2330",NA,NA,NA,NA
"2331",NA,NA,NA,NA
"2332",NA,NA,NA,NA
"2333","A","A","A","A"
"2334",NA,NA,NA,NA
"2335","B","B","C","B"
"2336","A","A","B","D or lower"
"2337","B","A","B","B"
"2338","B","B","C","B"
"2339","D or lower","D or lower","B","D or lower"
"2340","B","A","B","C"
"2341","C","A","C","A"
"2342","A","B","B","B"
"2343",NA,NA,NA,NA
"2344","A",NA,"A","D or lower"
"2345","C",NA,"C","D or lower"
"2346","B","A","A","C"
"2347","B","A","C","C"
"2348","C","D or lower","B","B"
"2349","A","A","C","A"
"2350","A","A","A","A"
"2351",NA,NA,NA,NA
"2352","A","A",NA,"A"
"2353","B","A","B","A"
"2354","A","B","A","A"
"2355","C","B","B","B"
"2356","C","C","B","B"
"2357","B","A","B","B"
"2358",NA,NA,NA,NA
"2359",NA,NA,NA,NA
"2360",NA,NA,NA,NA
"2361","B","B","C","A"
"2362","C","C","B","C"
"2363",NA,"C",NA,NA
"2364",NA,NA,NA,NA
"2365","B","B","C","B"
"2366",NA,NA,NA,NA
"2367",NA,NA,NA,NA
"2368",NA,NA,NA,NA
"2369","B","D or lower","B",NA
"2370","A","B","A","A"
"2371","B","B",NA,"B"
"2372","C","C","B","C"
"2373",NA,NA,NA,NA
"2374","B","C","B","A"
"2375","D or lower","A",NA,"D or lower"
"2376","A","B","B","B"
"2377","B","D or lower",NA,"C"
"2378","C","B","C","B"
"2379","A","A","A","A"
"2380","C","D or lower","C","C"
"2381","B","B","B","B"
"2382",NA,NA,NA,NA
"2383","B","C",NA,"B"
"2384","B","B",NA,"A"
"2385",NA,NA,NA,NA
"2386","B","B","B","A"
"2387","A","A","B","B"
"2388",NA,NA,NA,NA
"2389","A",NA,"A",NA
"2390","D or lower","D or lower","D or lower","D or lower"
"2391",NA,NA,NA,NA
"2392",NA,NA,NA,NA
"2393","A","A","A","A"
"2394","C","B","B","A"
"2395","B","B","B","C"
"2396","D or lower","D or lower","B","B"
"2397","B","A","B","B"
"2398","A","B","B","A"
"2399","A","B","C","A"
"2400","B","B","A","C"
"2401","B","B","A","A"
"2402","B","C","A","C"
"2403","D or lower","D or lower","A","C"
"2404","A","B","A","B"
"2405","C","C","B","B"
"2406","A","B","A","A"
"2407","C","B","A","C"
"2408",NA,NA,NA,NA
"2409","C","B","A","B"
"2410","C","D or lower","B","C"
"2411","A","C","A","B"
"2412",NA,NA,NA,NA
"2413","A","B","A","B"
"2414",NA,NA,NA,NA
"2415","C",NA,"B","A"
"2416",NA,NA,NA,NA
"2417","B",NA,"A",NA
"2418","B","B","C","C"
"2419","A","C","A",NA
"2420","B","C","B","B"
"2421","A","A","B","C"
"2422","A","A","B","A"
"2423",NA,NA,"C","B"
"2424",NA,NA,NA,NA
"2425","B","C","B","D or lower"
"2426","B","C",NA,"B"
"2427",NA,NA,NA,NA
"2428",NA,NA,NA,NA
"2429","C","B","B","C"
"2430",NA,NA,NA,NA
"2431","B","C","A","B"
"2432","B","B","B","C"
"2433","A","A","A","A"
"2434","B","C","B","B"
"2435","D or lower","B","B","C"
"2436","B","B",NA,NA
"2437","A","C","B","A"
"2438",NA,NA,NA,NA
"2439","A","B",NA,NA
"2440",NA,"B",NA,NA
"2441","B","B","B","C"
"2442","D or lower","D or lower",NA,"B"
"2443","A","A","A","A"
"2444",NA,NA,NA,NA
"2445","A","A","C","A"
"2446",NA,NA,NA,NA
"2447","B","C","A","D or lower"
"2448","D or lower","D or lower","C","C"
"2449","B","A","B","B"
"2450","B","B","B","B"
"2451","C","C","D or lower","C"
"2452","C","C","C","C"
"2453","A","B","B","B"
"2454","B","C","B","C"
"2455","B","C","B","C"
"2456","A","B","A","B"
"2457","B","D or lower","D or lower","B"
"2458","C","D or lower","C","B"
"2459","C","A","B","C"
"2460","A","A","A","A"
"2461",NA,NA,NA,NA
"2462","B","A",NA,NA
"2463","C","A","B","B"
"2464",NA,NA,NA,NA
"2465",NA,NA,NA,NA
"2466",NA,NA,NA,NA
"2467","A","A","A","A"
"2468","B","A","B","C"
"2469","B","B","C","A"
"2470","C","B","B","B"
"2471","B","B","B","C"
"2472",NA,NA,NA,NA
"2473",NA,NA,NA,NA
"2474","B","C","A","B"
"2475","A","C","A","B"
"2476","C","B","B","A"
"2477","B","A",NA,"B"
"2478","A","B","A","A"
"2479","B","A","B","B"
"2480",NA,NA,NA,NA
"2481","B","C","C","B"
"2482","B","C","B","C"
"2483","B","C",NA,"D or lower"
"2484","C","A","B","C"
"2485","B","C","A","B"
"2486",NA,NA,NA,NA
"2487","D or lower","D or lower","D or lower","D or lower"
"2488","B","C","A","B"
"2489",NA,NA,NA,NA
"2490","C","D or lower","C","B"
"2491","C","C","B","A"
"2492","B","A","B",NA
"2493","B","C","B","C"
"2494","B","C","A","A"
"2495","A","B",NA,"A"
"2496",NA,"C","C","A"
"2497","B","A","B","B"
"2498","C","A","C","B"
"2499",NA,NA,NA,NA
"2500","D or lower","D or lower","D or lower","D or lower"
"2501","A","A","B","D or lower"
"2502","C","B","C","B"
"2503",NA,NA,NA,NA
"2504","D or lower","C","C","D or lower"
"2505","B","C","B","C"
"2506","C","B","B","B"
"2507",NA,NA,NA,NA
"2508",NA,NA,NA,NA
"2509",NA,NA,NA,NA
"2510","B","A","C","B"
"2511","C","B","C","C"
"2512","B","B",NA,"B"
"2513","B","C","C","A"
"2514","B","B","C","D or lower"
"2515","B","B","B","C"
"2516","B","C","B","A"
"2517","A","C","A","B"
"2518","A","B","B","B"
"2519","B","D or lower","C","A"
"2520","C","C","C","D or lower"
"2521",NA,NA,NA,NA
"2522","C","B","A","C"
"2523",NA,NA,NA,NA
"2524","A","A","A","A"
"2525","B","A","A","A"
"2526","A","B","A","A"
"2527","B","B","D or lower","D or lower"
"2528","D or lower","B","D or lower","B"
"2529",NA,NA,NA,NA
"2530",NA,NA,NA,NA
"2531","A","B","A","A"
"2532","A","B",NA,"A"
"2533","B","A","A","C"
"2534","A","C","A","B"
"2535",NA,NA,NA,NA
"2536","A","B","A","B"
"2537","B","B","A","B"
"2538",NA,NA,NA,NA
"2539","C","D or lower","B","C"
"2540","B","C","A","B"
"2541",NA,NA,NA,NA
"2542","B","C","A","A"
"2543",NA,NA,NA,NA
"2544","A","A","A","A"
"2545","C","A","B","A"
"2546","B","B","A","B"
"2547","B","D or lower","B","B"
"2548",NA,NA,NA,NA
"2549","C","D or lower","D or lower",NA
"2550","B","A","B","C"
"2551",NA,NA,NA,NA
"2552","A","B",NA,"A"
"2553","C","C",NA,"D or lower"
"2554","B","B","B","A"
"2555",NA,NA,NA,NA
"2556",NA,NA,NA,NA
"2557","A","A","C","B"
"2558","C",NA,NA,"C"
"2559","B","A","B","B"
"2560","B","B","B","C"
"2561","B","B","A","B"
"2562","C","C","B","A"
"2563",NA,NA,NA,NA
"2564",NA,NA,NA,NA
"2565","B","C","A","A"
"2566","C","B","C","B"
"2567","B","C","C","C"
"2568","A","A","B","C"
"2569","B","C","B","B"
"2570",NA,NA,NA,NA
"2571","C","C","C","B"
"2572","C","C","B","B"
"2573",NA,NA,NA,NA
"2574","A","A","B","A"
"2575","B","B","A","C"
"2576","C","B",NA,"C"
"2577",NA,NA,NA,NA
"2578","C","C","A","C"
"2579","B","A","C","B"
"2580",NA,NA,NA,NA
"2581",NA,NA,NA,NA
"2582","C","B","C","C"
"2583",NA,NA,NA,NA
"2584","A",NA,"B","B"
"2585","C","B","A","C"
"2586","A","B","C","A"
"2587","A","B","A","A"
"2588",NA,NA,NA,NA
"2589","A","C",NA,"B"
"2590",NA,NA,NA,NA
"2591","A","A","B","A"
"2592","C","C","B","C"
"2593",NA,NA,NA,NA
"2594",NA,"C","C","B"
"2595","C","A","B","B"
"2596",NA,NA,NA,NA
"2597","B","A","B","C"
"2598","C","B","B","B"
"2599","B","B","D or lower","B"
"2600","B","A","A","A"
"2601","A","B","A","B"
"2602","B","A","A","A"
"2603",NA,NA,NA,NA
"2604","C","D or lower","C","B"
"2605","A","A","A","A"
"2606",NA,NA,NA,NA
"2607","B","A","B","B"
"2608","C","A","C","B"
"2609","B","B","A","B"
"2610",NA,NA,NA,NA
"2611",NA,NA,NA,NA
"2612",NA,NA,NA,NA
"2613","A","B","B","B"
"2614","C","A","B","A"
"2615","B","A","A","B"
"2616","D or lower","D or lower","B","A"
"2617",NA,NA,NA,NA
"2618",NA,NA,NA,NA
"2619",NA,"B","A","A"
"2620","C","C","B","C"
"2621",NA,NA,NA,NA
"2622",NA,NA,NA,NA
"2623",NA,NA,NA,NA
"2624","B","A","B","B"
"2625","B","A","B","D or lower"
"2626",NA,NA,NA,NA
"2627","A","A","A","A"
"2628",NA,NA,NA,NA
"2629","A","A","A","A"
"2630","C","B","C","C"
"2631",NA,NA,NA,NA
"2632","A","B","D or lower","B"
"2633","C","D or lower","B","C"
"2634",NA,NA,NA,NA
"2635","D or lower","D or lower","B","B"
"2636","A","A","B","C"
"2637","A","B","B","B"
"2638","C","C","C","B"
"2639","A","B","B","A"
"2640",NA,NA,NA,NA
"2641","A","A","A","A"
"2642",NA,NA,NA,NA
"2643",NA,NA,NA,NA
"2644",NA,NA,NA,NA
"2645","A","B","C","A"
"2646","C","A","C","B"
"2647",NA,NA,NA,NA
"2648",NA,NA,NA,NA
"2649",NA,NA,NA,NA
"2650",NA,NA,NA,NA
"2651",NA,NA,NA,NA
"2652","A","A","A","A"
"2653",NA,NA,NA,NA
"2654","C","B","A","B"
"2655","C","B","D or lower","B"
"2656","B","C","C","D or lower"
"2657",NA,NA,NA,NA
"2658","B","A","A","B"
"2659",NA,NA,NA,NA
"2660",NA,NA,NA,NA
"2661","C","D or lower","C","D or lower"
"2662","B","C","A","B"
"2663",NA,NA,NA,NA
"2664","A","A","B","A"
"2665","B","B","B","C"
"2666","B","A","C","B"
"2667","B","B","A","A"
"2668",NA,NA,NA,NA
"2669",NA,NA,NA,NA
"2670","B","A","B","B"
"2671",NA,NA,NA,NA
"2672","B","C","A","C"
"2673","B","C","B","B"
"2674","C","C","A","D or lower"
"2675","B","B","A","A"
"2676",NA,NA,NA,NA
"2677","B","A","C","C"
"2678",NA,NA,NA,NA
"2679","A","B","A","A"
"2680",NA,NA,NA,NA
"2681","A","B","D or lower",NA
"2682",NA,"B",NA,NA
"2683",NA,NA,NA,NA
"2684","A","A","A","A"
"2685","A","B","A","B"
"2686","B","A","C","A"
"2687","A","B","A","B"
"2688",NA,NA,NA,NA
"2689","B","A","C","B"
"2690","A","C","B","B"
"2691","A","C","A","C"
"2692","B","A","B","B"
"2693",NA,NA,NA,NA
"2694",NA,NA,"C","B"
"2695",NA,NA,NA,NA
"2696",NA,NA,NA,NA
"2697","B","A","B","A"
"2698","B","B","A","A"
"2699",NA,NA,NA,NA
"2700","A","B","A","B"
"2701","B","C","A","B"
"2702",NA,NA,NA,NA
"2703","C","D or lower","D or lower","D or lower"
"2704","B","B","A","A"
"2705","C","C","C","B"
"2706",NA,NA,NA,NA
"2707","C","C","D or lower","C"
"2708","B","C","A","C"
"2709","C","A","B","B"
"2710","B","B","A","B"
"2711","A","C","C","B"
"2712",NA,NA,NA,NA
"2713","B","B",NA,"A"
"2714","A","B","A","A"
"2715",NA,NA,NA,NA
"2716","B","B","B","B"
"2717",NA,NA,NA,NA
"2718",NA,NA,NA,NA
"2719","B","C","A","B"
"2720","A","B","B","B"
"2721","D or lower","D or lower","B","B"
"2722",NA,NA,NA,NA
"2723","A","A","B","B"
"2724","B","B","A","C"
"2725","A","D or lower","C","C"
"2726","A","D or lower","C","B"
"2727","B","C","B","A"
"2728",NA,NA,NA,NA
"2729","B","C","B","A"
"2730",NA,NA,NA,NA
"2731","C","B","A","B"
"2732","B","A","A","B"
"2733","D or lower","C","D or lower","D or lower"
"2734","B","B","B","B"
"2735","A","D or lower","A","A"
"2736","B","B","C","C"
"2737","D or lower","D or lower",NA,"D or lower"
"2738","A","A","A","B"
"2739","C","C","B","B"
"2740",NA,NA,NA,NA
"2741",NA,NA,NA,NA
"2742","B","A","C","B"
"2743","B","C","D or lower","C"
"2744","B","B","A","A"
"2745","B","C","D or lower","C"
"2746","A","A","A","A"
"2747",NA,NA,NA,NA
"2748",NA,"D or lower","C",NA
"2749","C","C","C","D or lower"
"2750",NA,NA,NA,NA
"2751",NA,NA,NA,NA
"2752","B","C","C",NA
"2753","A","C","B","A"
"2754","C","D or lower",NA,NA
"2755",NA,NA,NA,NA
"2756","B","C","B","C"
"2757","A","A","A","A"
"2758",NA,NA,NA,NA
"2759",NA,NA,NA,NA
"2760",NA,NA,NA,NA
"2761",NA,NA,NA,NA
"2762","C","B","D or lower","B"
"2763","B","A","B","A"
"2764","B","B","B","B"
"2765","B","B",NA,"B"
"2766",NA,NA,NA,NA
"2767","B","C",NA,"B"
"2768",NA,NA,NA,NA
"2769","A","D or lower",NA,"D or lower"
"2770","A","D or lower","B","C"
"2771",NA,NA,NA,NA
"2772","C","B","B","A"
"2773",NA,NA,NA,NA
"2774","B","C","B","B"
"2775",NA,NA,NA,NA
"2776","B","B","B","A"
"2777","C","C","D or lower","C"
"2778","D or lower","B","C","B"
"2779","C","D or lower",NA,"C"
"2780","B","C","C",NA
"2781","A","B","A","B"
"2782","C","B","C","B"
"2783",NA,NA,NA,NA
"2784",NA,NA,NA,NA
"2785","B","C","C","A"
"2786","B","A","A","B"
"2787","C","B","A","C"
"2788","B","B","A","A"
"2789","A","A","A","A"
"2790","C","A","D or lower","B"
"2791","C","B","B","B"
"2792","B","C","B","D or lower"
"2793","C","D or lower","C","C"
"2794",NA,NA,NA,NA
"2795","B","A","C","C"
"2796",NA,NA,NA,NA
"2797","B","A","B","B"
"2798",NA,NA,NA,NA
"2799","D or lower","C",NA,NA
"2800","C","C","B","C"
"2801","A","B","B","C"
"2802",NA,"C","C","B"
"2803","A","A",NA,"C"
"2804","B","C","A","B"
"2805",NA,NA,NA,NA
"2806","B","D or lower","C","B"
"2807",NA,NA,NA,NA
"2808","B","A","B","B"
"2809",NA,NA,NA,NA
"2810","B","C","C","C"
"2811","C","C","C",NA
"2812","A","A","B","A"
"2813","A","A","A","A"
"2814",NA,NA,NA,NA
"2815",NA,NA,NA,NA
"2816","D or lower","D or lower","B","A"
"2817","C","C","C","D or lower"
"2818","C","A","C","D or lower"
"2819",NA,NA,NA,NA
"2820",NA,NA,NA,NA
"2821","C","B","B","B"
"2822","B","A","B","B"
"2823","A","A","B","B"
"2824",NA,NA,NA,NA
"2825","C","D or lower","B","C"
