"idnum","mother_fin_security_w2345"
"1171","No"
"1172","Yes"
"1173","Yes"
"1174","Yes"
"1175","Yes"
"1176","Yes"
"1177","Yes"
"1178","Yes"
"1179","Yes"
"1180","Yes"
"1181","Yes"
"1182","No"
"1183","Yes"
"1184","No"
"1185","Yes"
"1186","Yes"
"1187","No"
"1188","Yes"
"1189","No"
"1190","No"
"1191","Yes"
"1192","Yes"
"1193","Yes"
"1194","Yes"
"1195","Yes"
"1196","Yes"
"1197","Yes"
"1198","No"
"1199","No"
"1200","No"
"1201","Yes"
"1202","Yes"
"1203","Yes"
"1204","Yes"
"1205","No"
"1206","Yes"
"1207","Yes"
"1208","Yes"
"1209","Yes"
"1210","Yes"
"1211","Yes"
"1212","Yes"
"1213","Yes"
"1214","No"
"1215","Yes"
"1216","No"
"1217","Yes"
"1218","Yes"
"1219","No"
"1220","Yes"
"1221","Yes"
"1222","No"
"1223","Yes"
"1224","Yes"
"1225","Yes"
"1226","Yes"
"1227","No"
"1228","Yes"
"1229",NA
"1230","No"
"1231","Yes"
"1232","Yes"
"1233","Yes"
"1234","No"
"1235","No"
"1236","No"
"1237","Yes"
"1238","Yes"
"1239","Yes"
"1240","No"
"1241","Yes"
"1242","Yes"
"1243","No"
"1244","Yes"
"1245",NA
"1246","Yes"
"1247","No"
"1248","No"
"1249","Yes"
"1250","Yes"
"1251",NA
"1252","No"
"1253",NA
"1254","No"
"1255","Yes"
"1256","No"
"1257","Yes"
"1258",NA
"1259","Yes"
"1260","No"
"1261","Yes"
"1262","Yes"
"1263","Yes"
"1264","No"
"1265","Yes"
"1266","No"
"1267","No"
"1268","Yes"
"1269","Yes"
"1270","Yes"
"1271","Yes"
"1272",NA
"1273","No"
"1274","Yes"
"1275",NA
"1276","Yes"
"1277","No"
"1278","No"
"1279","No"
"1280","Yes"
"1281","Yes"
"1282","Yes"
"1283","Yes"
"1284","Yes"
"1285","No"
"1286","Yes"
"1287",NA
"1288","Yes"
"1289","No"
"1290","No"
"1291","No"
"1292","No"
"1293","Yes"
"1294","No"
"1295","Yes"
"1296","No"
"1297","No"
"1298","Yes"
"1299","Yes"
"1300","Yes"
"1301","Yes"
"1302","Yes"
"1303","No"
"1304","No"
"1305","Yes"
"1306",NA
"1307","Yes"
"1308","Yes"
"1309","Yes"
"1310",NA
"1311","Yes"
"1312","Yes"
"1313","No"
"1314","Yes"
"1315","No"
"1316","Yes"
"1317","No"
"1318","Yes"
"1319","No"
"1320","Yes"
"1321","No"
"1322","Yes"
"1323","No"
"1324","No"
"1325",NA
"1326","Yes"
"1327","No"
"1328","No"
"1329","No"
"1330","No"
"1331","No"
"1332","Yes"
"1333","No"
"1334","Yes"
"1335","No"
"1336","Yes"
"1337","No"
"1338","No"
"1339","Yes"
"1340","Yes"
"1341","No"
"1342","Yes"
"1343","No"
"1344","No"
"1345","No"
"1346","Yes"
"1347","Yes"
"1348","Yes"
"1349","Yes"
"1350","Yes"
"1351","No"
"1352","Yes"
"1353","No"
"1354","Yes"
"1355","Yes"
"1356","No"
"1357","Yes"
"1358","Yes"
"1359","Yes"
"1360","Yes"
"1361","No"
"1362","No"
"1363","No"
"1364","Yes"
"1365","Yes"
"1366","Yes"
"1367","Yes"
"1368","Yes"
"1369","Yes"
"1370","No"
"1371","Yes"
"1372","Yes"
"1373","Yes"
"1374",NA
"1375","Yes"
"1376","Yes"
"1377","Yes"
"1378","No"
"1379","No"
"1380","Yes"
"1381","Yes"
"1382","Yes"
"1383","No"
"1384","Yes"
"1385","Yes"
"1386","No"
"1387","Yes"
"1388","Yes"
"1389","No"
"1390","Yes"
"1391","No"
"1392","Yes"
"1393","No"
"1394","No"
"1395","Yes"
"1396","No"
"1397","Yes"
"1398","No"
"1399","No"
"1400","Yes"
"1401","Yes"
"1402","No"
"1403","No"
"1404","No"
"1405","Yes"
"1406","No"
"1407","Yes"
"1408","Yes"
"1409","Yes"
"1410","No"
"1411","No"
"1412","No"
"1413","Yes"
"1414","No"
"1415","Yes"
"1416","Yes"
"1417","No"
"1418","Yes"
"1419","Yes"
"1420","Yes"
"1421","Yes"
"1422","Yes"
"1423","Yes"
"1424","No"
"1425","Yes"
"1426","No"
"1427","Yes"
"1428",NA
"1429","No"
"1430","Yes"
"1431","Yes"
"1432","No"
"1433","Yes"
"1434","Yes"
"1435","No"
"1436","Yes"
"1437","No"
"1438","No"
"1439","Yes"
"1440","No"
"1441",NA
"1442","No"
"1443","No"
"1444","No"
"1445","Yes"
"1446","No"
"1447","Yes"
"1448","Yes"
"1449","No"
"1450","No"
"1451","Yes"
"1452","No"
"1453","Yes"
"1454",NA
"1455","No"
"1456","Yes"
"1457","Yes"
"1458","Yes"
"1459","Yes"
"1460","Yes"
"1461","Yes"
"1462","No"
"1463","Yes"
"1464","Yes"
"1465","No"
"1466","Yes"
"1467","No"
"1468",NA
"1469","No"
"1470","No"
"1471","No"
"1472","No"
"1473","Yes"
"1474","Yes"
"1475","Yes"
"1476","No"
"1477","Yes"
"1478",NA
"1479","Yes"
"1480","No"
"1481","No"
"1482","No"
"1483","Yes"
"1484","No"
"1485","No"
"1486","Yes"
"1487","Yes"
"1488","Yes"
"1489","No"
"1490","No"
"1491","Yes"
"1492","No"
"1493","Yes"
"1494","Yes"
"1495","Yes"
"1496","Yes"
"1497","Yes"
"1498","No"
"1499","Yes"
"1500","Yes"
"1501","Yes"
"1502","No"
"1503","Yes"
"1504","Yes"
"1505","Yes"
"1506","No"
"1507","Yes"
"1508","Yes"
"1509","No"
"1510","Yes"
"1511","Yes"
"1512","No"
"1513",NA
"1514","Yes"
"1515","Yes"
"1516","Yes"
"1517","No"
"1518","Yes"
"1519","Yes"
"1520","No"
"1521","Yes"
"1522","No"
"1523","Yes"
"1524","No"
"1525","Yes"
"1526","Yes"
"1527","Yes"
"1528","Yes"
"1529","Yes"
"1530","No"
"1531","No"
"1532","Yes"
"1533","No"
"1534","No"
"1535","Yes"
"1536","No"
"1537","Yes"
"1538","Yes"
"1539","No"
"1540","No"
"1541","Yes"
"1542","No"
"1543","No"
"1544","No"
"1545","Yes"
"1546","Yes"
"1547","No"
"1548","Yes"
"1549","No"
"1550","No"
"1551","No"
"1552","Yes"
"1553","No"
"1554","No"
"1555","Yes"
"1556","Yes"
"1557","No"
"1558","No"
"1559","No"
"1560","Yes"
"1561","Yes"
"1562","No"
"1563","Yes"
"1564","Yes"
"1565","Yes"
"1566","Yes"
"1567","Yes"
"1568","Yes"
"1569","Yes"
"1570","No"
"1571","No"
"1572","Yes"
"1573","No"
"1574","No"
"1575","No"
